#OTU ID	soil.ctrl.CMU.16.09.2016.07.26.day1	soil.ctrl.CMU.16.10.2016.08.06.day1	soil.ctrl.CMU.16.12.2016.10.day.day1	soil.ctrl.CMU.16.14.2016.11.day.day1	soil.ctrl.CMU.17.10.2017.08.09.day1	soil.ctrl.CMU.17.12.2017.10.10.day1	soil.ctrl.SHSU.2016.064.2016.08.25.day1	soil.ctrl.SHSU.2016.065.2016.08.25.day1	soil.ctrl.SHSU.2016.067.2016.09.16.day1	soil.ctrl.SHSU.2016.072.2016.11.04.day1	soil.ctrl.SHSU.2016.073.2016.11.04.day1	soil.ctrl.SHSU.2016.076.2016.11.22.day1	soil.ctrl.SHSU.2017.043.2017.11.30.day1	soil.ctrl.SHSU.2017.045.2017.12.12.day1	soil.ctrl.SHSU.2017.046.2017.12.19.day1	soil.ctrl.UTK.K016.04.2016.09.26.day1	soil.ctrl.UTK.K016.05.2016.09.26.day1	soil.ctrl.UTK.K016.06.2016.10.05.day1	soil.ctrl.UTK.K016.07.2017.Jan.06.day1	soil.ctrl.UTK.K016.08.2017.Jan.06.day1	soil.ctrl.UTK.K016.09.2017.Jan.06.day1	soil.ctrl.UTK.K016.10.2017.05.25.day1	soil.ctrl.UTK.K016.11.2017.05.25.day1	soil.ctrl.UTK.K016.12.2017.05.25.day1	soil.ctrlCMU.16.15.2016.12.day1	soil.ctrlCMU.17.01.2017.01.day1	soil.ctrlCMU.17.04.2017.03.day1	soil.face.CMU.16.03.2016.3.day1	soil.face.CMU.16.04.2016.mo.day1	soil.face.CMU.16.05.2016.mo.day1	soil.face.CMU.16.09.2016.07.26.day1	soil.face.CMU.16.10.2016.08.06.day1	soil.face.CMU.16.12.2016.10.day.day1	soil.face.CMU.16.14.2016.11.day.day1	soil.face.CMU.16.15.2016.12.day1	soil.face.CMU.17.01.2017.01.day1	soil.face.CMU.17.04.2017.03.day1	soil.face.CMU.17.10.2017.08.09.day1	soil.face.CMU.17.12.2017.10.10.day1	soil.face.SHSU.2016.007.2016.04.15.day1	soil.face.SHSU.2016.011.2016.04.15.day1	soil.face.SHSU.2016.024.2016.04.15.day1	soil.face.SHSU.2016.064.2016.08.25.day1	soil.face.SHSU.2016.065.2016.08.25.day1	soil.face.SHSU.2016.067.2016.09.16.day1	soil.face.SHSU.2016.072.2016.11.04.day1	soil.face.SHSU.2016.073.2016.11.04.day1	soil.face.SHSU.2016.076.2016.11.22.day1	soil.face.SHSU.2017.043.2017.11.30.day1	soil.face.SHSU.2017.045.2017.12.12.day1	soil.face.SHSU.2017.046.2017.12.19.day1	soil.face.UTK.K016.01.2016.04.05.day1	soil.face.UTK.K016.02.2016.04.13.day1	soil.face.UTK.K016.03.2016.05.06.day1	soil.face.UTK.K016.04.2016.09.26.day1	soil.face.UTK.K016.05.2016.09.26.day1	soil.face.UTK.K016.06.2016.10.05.day1	soil.face.UTK.K016.07.2017.Jan.06.day1	soil.face.UTK.K016.08.2017.Jan.06.day1	soil.face.UTK.K016.09.2017.Jan.06.day1	soil.face.UTK.K016.10.2017.05.25.day1	soil.face.UTK.K016.11.2017.05.25.day1	soil.face.UTK.K016.12.2017.05.25.day1	soil.hip.CMU.16.03.2016.3.day1	soil.hip.CMU.16.04.2016.mo.day1	soil.hip.CMU.16.05.2016.mo.day1	soil.hip.CMU.16.09.2016.07.26.day1	soil.hip.CMU.16.10.2016.08.06.day1	soil.hip.CMU.16.12.2016.10.day.day1	soil.hip.CMU.16.14.2016.11.day.day1	soil.hip.CMU.16.15.2016.12.day1	soil.hip.CMU.17.01.2017.01.day1	soil.hip.CMU.17.04.2017.03.day1	soil.hip.CMU.17.10.2017.08.09.day1	soil.hip.CMU.17.12.2017.10.10.day1	soil.hip.SHSU.2016.007.2016.04.15.day1	soil.hip.SHSU.2016.011.2016.04.15.day1	soil.hip.SHSU.2016.024.2016.04.15.day1	soil.hip.SHSU.2016.064.2016.08.25.day1	soil.hip.SHSU.2016.065.2016.08.25.day1	soil.hip.SHSU.2016.067.2016.09.16.day1	soil.hip.SHSU.2016.072.2016.11.04.day1	soil.hip.SHSU.2016.073.2016.11.04.day1	soil.hip.SHSU.2016.076.2016.11.22.day1	soil.hip.SHSU.2017.043.2017.11.30.day1	soil.hip.SHSU.2017.045.2017.12.12.day1	soil.hip.SHSU.2017.046.2017.12.19.day1	soil.hip.UTK.K016.01.2016.04.05.day1	soil.hip.UTK.K016.02.2016.04.13.day1	soil.hip.UTK.K016.03.2016.05.06.day1	soil.hip.UTK.K016.04.2016.09.26.day1	soil.hip.UTK.K016.05.2016.09.26.day1	soil.hip.UTK.K016.06.2016.10.05.day1	soil.hip.UTK.K016.07.2017.Jan.06.day1	soil.hip.UTK.K016.08.2017.Jan.06.day1	soil.hip.UTK.K016.09.2017.Jan.06.day1	soil.hip.UTK.K016.10.2017.05.25.day1	soil.hip.UTK.K016.11.2017.05.25.day1	soil.hip.UTK.K016.12.2017.05.25.day1
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Polyangiaceae;D_5__Pajaroellobacter;D_6__uncultured Polyangiaceae bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.00141223	0.001350569	0.00012608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000535762	0	0.002085506	0.001539409	0	0	0.001124157	0	0.003128666	0	0.000918887	0.000999706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001795735	0.000690767	0.0010987	0.000703482	0.00030525	0.001250977	0	0	0.000723327	0.002374302	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;__;__;__;__	0	0.00481232	0.000572435	0.000249979	0.000490356	0	0	0	0	0	0	0	0	0	0	0.002326218	0.002491334	0	0.003242418	0.00093334	0.002149575	0.000822837	0.000930789	0.00148412	0	0.000864803	0	0	0	0	0	0.000615536	0	0.000491576	0.000302343	0	0	0	0.000524494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000481278	0.004278941	0.000564546	0	0.001691206	0.001781737	0.000453386	0.000702198	0.000432847	0.00122496	0	0	0	0	0	0.000354453	0.000160462	7.56859E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001633987	0.001108374	0.001982916	0.001523124	0.000501086	0.001771928	0.001897206	0.001044084	0.000624337	0.001122931	0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Pedosphaerales;D_4__Pedosphaeraceae;D_5__uncultured subdivision 3 bacterium;D_6__uncultured subdivision 3 bacterium	0.001558603	0.005774783	0.001541171	0.000583285	0.00027242	0	0	0	0	0	0	0	0	0	0	0.000410509	0	0	0.000143048	9.82463E-05	0.001253918	0.000822837	0.000332425	0	0	0	0	0	0.006537806	0	0	0.000369322	0.003598273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000472925	0.000385023	0	0	0	0	0.000148478	0.000113347	0.000351099	0.000371012	0	0	0	0	0	0.000524178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000326797	0.001970443	0	0.000276932	0	0.000126566	0	0	0.000561903	0.000413712	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas;D_6__Sphingomonas glacialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.91232E-05	0	0	0.00026594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000385023	0	0	0.001111111	0	0	0.003570417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000246305	0	0.000276932	0.0011692	0	0	0.000348028	0	0	0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Chthoniobacteraceae;D_5__Chthoniobacter;D_6__uncultured bacterium	0.001558603	0	0.002950242	0.003083076	0.005884276	0.000504456	0	0	0.000362319	0	0.010033445	0	0.004095467	0.004919931	0.005421421	0.000547345	0.000649913	0	9.53652E-05	0.00171931	0.00080609	0.000506361	0.00026594	0.000296824	0	0.00230614	0.002470007	0.004552352	0	0.000305437	0	0.003447002	0.000159923	0.004290119	0.000856639	0	0	0.003606853	0.004195951	0.002678811	0	0.00243309	0.003078818	0	0	0.004371721	0	0.003421979	0.013559322	0.012697352	0.001528962	0	0.000472925	0	0.002197294	0	0.004126984	0.001790688	0.001039347	0.000566733	0.000631978	0.000865694	0.000504395	0.001412762	0.000759878	0.002484815	0.003249631	0.003014022	0	0.003369705	0.001324503	0.003691046	0.000130967	0.005099675	0.000921801	0	0.002469136	0.002993323	0	0.000703482	0.001373626	0.000312744	0	0	0	0.004748603	0.002701629	0.000683995	0.001470588	0	0.00152532	0.000830795	0.001670286	0.000379699	0.000172473	0.001392111	0.000312168	0.001004728	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__Solirubrobacteraceae;D_5__Solirubrobacter;D_6__uncultured Solirubrobacter sp.	0	0	0	0.000166653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000343862	0	0	6.64849E-05	0	0	0	0	0	0	0	0	0	0.000959539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.40911E-05	0	0	0.000148478	0	7.02198E-05	0	0	0	0	0	0	0	0.001063358	0	0	0	0	0	0.000153633	0	0	0	0	0	0	0	0	0	0	0	0	0.000227998	0	0	0	0.001107726	0	0	0.000172473	0	6.24337E-05	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Terrimonas;D_6__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000238413	0.000196493	0	0.000379771	0	0.000148412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000385023	0	0.00084682	0	0.000198965	0.000668151	0	0.00014044	0.000618353	7.20565E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000455996	0.000980392	0	0	0.000276932	0	0	0.000287455	0	6.24337E-05	0.001477541	0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae;D_5__Pirellula;D_6__uncultured Pasteuria sp.	0	0	0	0	0	0	0	0	0.000362319	0	0	0	0	0	0	0.000273673	0.000324957	0	0.000572191	0.000736847	0.000358262	0.000759542	0.000997274	0.001335708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000481278	0.000578235	0.000752729	0	0.000397931	0.000668151	0.000113347	0.001053297	0.000618353	0.000792621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000816993	0	0.00076266	0	0	0.000632831	0.000977349	0	0.001373541	0.000886525	0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__Solirubrobacteraceae;D_5__JCM 18997;D_6__uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.53652E-05	0.000196493	0	0.000189885	0.000199455	0.000148412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000610128	0	0	0	0	0	0	5.91017E-05	0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__uncultured;D_5__uncultured Planctomyces sp.;D_6__uncultured Planctomyces sp.	0	0	0	0	0	0	0	0.001535088	0.000724638	0	0	0	0.000706115	0.000289408	0.00012608	0.000273673	0.001516464	0	0.000286096	0.000589478	0	0.000569656	0.000797819	0.000296824	0	0.000432401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000695169	0.002463054	0	0	0	0	0.000977708	0	0.000668282	0	0	0.00094585	0.000866301	0	0.000752729	0	0.001193792	0.001410542	0.00051006	0.001123517	0.000432847	0.000936734	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000897868	0	0.001281817	0.004924376	0.004426129	0.001407349	0	0	0	0.002513966	0	0.000683995	0.000980392	0.002093596	0	0	0.000501086	0	0.001667242	0.000232019	0.000811638	0.000118203	0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Rubinisphaeraceae;D_5__Planctomicrobium;D_6__uncultured soil bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019073	0	0.000358262	0	0.00013297	0.00037103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000437036	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae;D_5__uncultured;__	0	0	0	0	0	0	0.010007148	0.018421053	0.015398551	0	0	0.015021459	0.007626042	0.015145669	0.013742672	0	0.000324957	0	0.000143048	0.000687724	0	0.000253181	0.00026594	0.000222618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009911599	0.007334963	0.017379214	0.017241379	0.022991071	0.07165109	0.025855608	0.036723164	0.017598749	0.010169492	0.024726422	0.015172008	0	0.001182313	0.000770045	0	0.000564546	0.00031746	0	0.000445434	0.000736753	0.000421319	0.000494682	0.000216169	0	0	0	0	0	0	0.000160462	0.000302744	0.000478469	0	0	0	0.021084337	0.024242424	0.011743035	0.006042849	0.033415406	0.021367521	0.03393276	0	0	0.02965642	0.01047486	0.015812475	0.002279982	0.000326797	0.000492611	0	0.000276932	0.0011692	0	0.000344947	0.001044084	0.000374602	0.000650118	0
