#SampleID	env_package	empo_1	empo_2	empo_3
11442.G79360	misc environment	not applicable	not applicable	not applicable
11442.G79344	misc environment	free-living	non-saline	surface (non-saline)
10137.Day.761.A				
11442.G75650	misc environment	free-living	non-saline	surface (non-saline)
11740.9.2.ThursFri.Swab.o	built environment			
11953.L181.tp8	host-associated	Host-associated	Animal-associated	Animal distal gut
13301.2014.066.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.783.A				
11442.G79578	misc environment	free-living	non-saline	surface (non-saline)
10218.3.7.13.A	soil			
12227.SAL.RAS.A.23.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79289	misc environment	host-associated	plant	plant-corpus
11712.SUBJECT43.STOOL.1068	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.066.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79573	misc environment	free-living	non-saline	surface (non-saline)
10172.1759	human-skin			
10137.Day.861.A				
11712.SUBJECT24.STOOL.523	human-gut	Host-associated	Animal-associated	Animal distal gut
11953.A706.tp04	host-associated	Host-associated	Animal-associated	Animal distal gut
10442.WSB160A	water			
11815.BN.594.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
12227.SAL.RAS.A.19.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11712.BLANK14.2G	misc environment	Control	Negative	Sterile water blank
10218.G.CTRL.soil.T0.2	soil			
11442.G74113	misc environment	free-living	non-saline	soil (non-saline)
10442.WSB161C	water			
10353.QM	host-associated	Host-associated	Animal	Animal distal gut
13301.2014.042.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79250	misc environment	free-living	non-saline	surface (non-saline)
10137.Day.771.A				
11442.G79357	misc environment	not applicable	not applicable	not applicable
11442.G75813	misc environment	not applicable	not applicable	not applicable
11442.G79755	misc environment	not applicable	not applicable	not applicable
11442.G79282	misc environment	host-associated	plant	plant-corpus
11442.G79577	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.A.26.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
10863.PBS2.8H	microbial mat/biofilm			
12470.21.Floor.4	built environment	Free-living	Non-saline	Surface (non-saline)
11442.G75695	misc environment	free-living	non-saline	surface (non-saline)
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
10442.WSB160B	water			
10442.WSB159A	water			
11442.G79534	misc environment	not applicable	not applicable	not applicable
12227.SAL.RAS.A.31.digesta	host-associated	Host-associated	Animal	Animal proximal gut
11624.K40.128.100	human-associated	Host-associated	Animal	Animal secretion
11442.G87568	misc environment	host-associated	animal	animal-corpus
11442.G73980	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB218	water			
12227.control.feed5	misc environment	Free-living	Non-saline	Surface (non-saline)
11442.G79575	misc environment	free-living	non-saline	surface (non-saline)
11635.TW.AP.001	human-gut	Host-associated	Animal	Animal distal gut
10137.Day.765.A				
10470.U35.29.8	water			
10172.959	human-skin			
10137.Day.843.G				
10442.WSB138A	water			
1747.slasher.29.101112	host-associated	Host-associated	Animal	Animal surface
10442.WSB641	water			
13301.2014.042.Fly.29.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.35.T	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.RAS.A.25.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10137.Day.807.A				
11624.K40.123.4	human-associated	Host-associated	Animal	Animal secretion
14446.337	wastewater/sludge	Free-living	Non-saline	Water (non-saline)
11442.G79176	misc environment	host-associated	plant	plant-corpus
13301.2014.042.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79343	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB145A	water			
1747.Sanchez.72612.skin2	host-associated	Host-associated	Animal	Animal surface
12227.137.FT.7.skin	host-associated	Host-associated	Animal	Animal surface
11442.G79463	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB183	water			
11442.G79253	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.30.L	host-associated		Host-associated	Host-associated (non-saline)
10137.Day.759.A				
11442.G79345	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB156A	water			
10442.WSB156B	water			
11442.G79297	misc environment	host-associated	plant	plant-corpus
11953.L179.tp4.bis	host-associated	Host-associated	Animal-associated	Animal distal gut
2192.H07b.Bathroom.Door.Knob.4038.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)
10218.DM187	built environment			
10218.5.11.13.S.RA.G	soil			
11442.G79539	misc environment	not applicable	not applicable	not applicable
11442.G79483	misc environment	free-living	non-saline	surface (non-saline)
11442.G79752	misc environment	not applicable	not applicable	not applicable
10442.WSB170A	water			
12227.control.feed4	misc environment	Free-living	Non-saline	Surface (non-saline)
10442.WSB171C	water			
12227.SAL.RAS.A.35.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13414.99.g	host-associated	Host-associated	Host-associated (saline)	Animal (saline)
10353.P2.water.T8.W4	water	Free-living	Non-saline	Water (non-saline)
13301.2014.066.Fly.22.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT30.STOOL.688	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G75585	misc environment	free-living	non-saline	surface (non-saline)
12227.SAL.RAS.B.48.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10218.JB3	built environment			
10218.5.13.13.S.LA.F	soil			
11442.G75766	misc environment	host-associated	animal	animal-secretion
10137.Day.625.A				
11442.G79533	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.7.L	host-associated		Host-associated	Host-associated (non-saline)
10218.1028	microbial mat/biofilm			
10370.CE1	human-skin			
13301.2014.066.Fly.22.T	host-associated		Host-associated	Host-associated (non-saline)
10218.4206	human-skin			
10423.3ZNXPCTNZP2MQ	built environment			
11624.K40.78.44	human-associated	Host-associated	Animal	Animal secretion
12227.control.feed3	misc environment	Free-living	Non-saline	Surface (non-saline)
10137.Day.549.A				
10442.WSB162C	water			
12227.SAL.RAS.A.34.digesta	host-associated	Host-associated	Animal	Animal proximal gut
10442.WSB164A	water			
10353.PM	host-associated	Host-associated	Animal	Animal distal gut
11442.G79541	misc environment	not applicable	not applicable	not applicable
10863.PBS1.8H	microbial mat/biofilm			
11442.G83217	misc environment	host-associated	plant	plant-corpus
13301.2014.042.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
10485.A0906	host-associated			
11442.G75120	misc environment	host-associated	not applicable	not applicable
14446.3746	water	Free-living	Non-saline	Water (non-saline)
10172.1247	human-skin			
10353.ntc1.pcr	misc environment	Control	Negative	Sterile water blank
13301.2014.042.Fly.27.O	host-associated		Host-associated	Host-associated (non-saline)
10353.P2.Os8F.W4	host-associated	Host-associated	Animal	Animal distal gut
11166.ATL.24537.pigeon	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10442.WSB170B	water			
10442.WSB136C	water			
10442.WSB757	water			
11442.BLANK14.11D	misc environment	control	negative	sterile water blank
10442.WSB753	water			
