#SampleID	env_package	empo_1	empo_2	empo_3	is_emp	is_agp
2192.H02a.Kitchen.Counter.697.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H04a.Dog.Nose.1938.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000035164	human-oral	Host-associated	Animal	Animal secretion	False	True
894.YY1867.lane2.NoIndex.L002	host-associated	Host-associated	Animal	Animal distal gut	True	False
10317.000036424	human-gut	Host-associated	Animal	Animal distal gut	False	True
894.YY1838.lane2.NoIndex.L002	host-associated	Host-associated	Animal	Animal distal gut	True	False
10317.000063476	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H07b.Nose.4065.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000022915	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Foot.2480.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000065569	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000007129	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H04a.Bathroom.Door.Knob.2046.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07b.Kitchen.Counter.4177.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
894.UY669.lane3.NoIndex.L003.r	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H01a.Foot.302.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000063313	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Front.Door.Knob.2765.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
1288.MA30jun09H.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	water	Free-living	Non-saline	Water (non-saline)	True	False
10317.000112760	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Hand.2722.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Hand.1426.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000003550	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Front.Door.Knob.2405.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000063351	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H03a.Kitchen.Counter.1297.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000072243	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000112679	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000038200	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H03a.Bedroom.Floor.1396.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
755.SSFB.L1.D50.26.07.11.lane1.NoIndex.L001	built environment	Free-living	Non-saline	Soil (non-saline)	True	False
945.P9.A7.lane3.NoIndex.L003	water	Free-living	Non-saline	Water (non-saline)	True	False
10317.000047414	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H07b.Front.Door.Knob.4061.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Foot.2936.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Bedroom.Floor.2428.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H03a.Hand.1429.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06a.Kitchen.Counter.3025.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Nose.3300.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H02a.Kitchen.Light.Switch.699.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
864.14.CON.addV.noG.noW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H06b.Nose.3351.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000098885	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000063440	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Kitchen.Counter.2425.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000096943	human-skin	Host-associated	Animal	Animal surface	False	True
894.SV1733.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H07b.Nose.4041.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000037566	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Kitchen.Floor.2.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000097735	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000041368	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H01a.Hand.88.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Kitchen.Floor.3242.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Foot.257.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Foot.158.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Hand.298.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Kitchen.Counter.2785.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
864.7.OTC.addV.noG.noW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H06b.Nose.3129.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000005159	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000063232	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000001504	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Hand.2506.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Hand.1231.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07a.Foot.3656.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Hand.3943.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000010446	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H04a.Foot.1982.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
894.UY663.lane3.NoIndex.L003	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H04a.Kitchen.Light.Switch.2043.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
861.H10.4.jul09	water	Free-living	Saline	Water (saline)	True	False
10317.000010419	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000068816	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H01a.Kitchen.Floor.26.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000003638	human-skin	Host-associated	Animal	Animal surface	False	True
864.13.CON.addV.noG.addW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H05b.Nose.2409.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07a.Nose.3660.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000030650	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Nose.2937.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000112902	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Foot.32.lane1.NoIndex.L001	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000063344	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H03a.Foot.1286.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Hand.1333.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Kitchen.Floor.1346.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Nose.3180.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H02a.Kitchen.Counter.889.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000050035	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Kitchen.Floor.266.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000050618	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H06b.Nose.3369.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000107382	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Nose.9.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000005999	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000070814	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H03a.Nose.1332.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Kitchen.Floor.74.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Kitchen.Light.Switch.147.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H02a.Foot.704.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H02a.Kitchen.Floor.818.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000092843	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000006788	human-oral	Host-associated	Animal	Animal secretion	False	True
10317.000007276	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000114419	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H01a.Kitchen.Counter.25.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Kitchen.Floor.2834.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000097995	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Bedroom.Floor.292.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000112191	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H03a.Kitchen.Floor.1250.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06a.Nose.3015.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
864.10.CON.addV.noG.addW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H07b.Bathroom.Door.Knob.3870.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H04a.Hand.2101.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Hand.3151.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Cat.Paw.4069.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Nose.1500.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Bedroom.Floor.2524.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H04a.Hand.1837.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
864.7.CON.addV.noG.noW.B.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
10317.000105371	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Nose.2604.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Foot.4115.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Kitchen.Light.Switch.3.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07a.Foot.3683.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
755.SSFB.L1.D30.26.07.11.lane1.NoIndex.L001	built environment	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H06a.Foot.3038.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000063339	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H07b.Hand.3967.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Bedroom.Floor.2572.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Hand.181.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000097370	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H05b.Nose.2721.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Hand.2623.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000007372	human-skin	Host-associated	Animal	Animal surface	False	True
1747.DZF.742012.A.skin.center.ventral.1	host-associated	Host-associated	Animal	Animal surface	True	False
2192.H01a.Foot.230.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Nose.1329.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000050504	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H06b.Foot.3176.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
864.12.OTC.addV.noG.noW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H05b.Hand.2695.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000112116	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H02a.Kitchen.Floor.842.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H04a.Kitchen.Light.Switch.1923.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000063445	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000033527	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H03a.Foot.1400.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Nose.3849.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
861.U70.jul09	water	Free-living	Saline	Water (saline)	True	False
2192.H05b.Kitchen.Counter.2689.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000028294	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Bedroom.Floor.100.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000102735	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H06a.Nose.3012.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000032994	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H03a.Foot.1310.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Nose.2601.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Foot.3371.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Hand.3103.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000096959	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000066931	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000115360	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H07a.Nose.3756.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Front.Door.Knob.29.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Bedroom.Floor.148.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07b.Front.Door.Knob.3965.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Nose.2628.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H04a.Front.Door.Knob.1829.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000030052	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000068799	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000099114	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H07a.Hand.3730.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000099096	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H01a.Foot.131.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000097139	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000066831	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H05b.Bedroom.Floor.2860.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H03a.Foot.1283.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Kitchen.Counter.3985.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H04a.Bedroom.Floor.1804.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07b.Bathroom.Door.Knob.3846.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000047835	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H03a.Kitchen.Floor.1370.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000014491	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000007435	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000007248	human-skin	Host-associated	Animal	Animal surface	False	True
1747.DZF.6202012.RJ.metal.door.on.N.side	built environment	Free-living	Non-saline	Surface (non-saline)	True	False
894.YY996.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut	True	False
2192.H05b.Bedroom.Floor.2668.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Kitchen.Floor.50.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07b.Kitchen.Counter.4153.lane6.NoIndex.L006	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000009353a	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H04a.Kitchen.Light.Switch.1803.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Foot.2795.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000009394	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000001327	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H04a.Dog.Nose.1824.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000107373	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H06b.Hand.3133.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07a.Kitchen.Counter.3745.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000059047	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H07a.Foot.3680.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
