sample_name	season	subjects	add_0c	add_0c_group	facility	climate	timepoint	traintest_0	traintest_1	traintest_2	traintest_3	traintest_4	traintest_5	traintest_6	traintest_7	traintest_8	traintest_9
soil.hip.UTK.K016.01.2016.04.13.day9	spring	UTK.K016.01	90.27777779	active	ARF	temperate	9	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.24.day20	spring	UTK.K016.01	293.6111111	advanced	ARF	temperate	20	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.01.2016.04.06.day2	spring	UTK.K016.01	10.55555556	early	ARF	temperate	2	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.21.day17	spring	UTK.K016.01	242.2222222	advanced	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.23.day19	spring	UTK.K016.01	276.1111111	advanced	ARF	temperate	19	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.20.day16	spring	UTK.K016.01	220.8333333	advanced	ARF	temperate	16	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.07.day3	spring	UTK.K016.01	23.05555556	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.08.day4	spring	UTK.K016.01	33.05555556	early	ARF	temperate	4	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.16.day12	spring	UTK.K016.01	141.6666667	active	ARF	temperate	12	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.25.day21	spring	UTK.K016.01	313.8888889	advanced	ARF	temperate	21	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.11.day7	spring	UTK.K016.01	62.50000001	active	ARF	temperate	7	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.10.day6	spring	UTK.K016.01	48.33333334	early	ARF	temperate	6	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.22.day18	spring	UTK.K016.01	260	advanced	ARF	temperate	18	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.01.2016.04.12.day8	spring	UTK.K016.01	76.3888889	active	ARF	temperate	8	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.14.day10	spring	UTK.K016.01	108.8888889	active	ARF	temperate	10	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.01.2016.04.15.day11	spring	UTK.K016.01	126.6666667	active	ARF	temperate	11	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.01.2016.04.05.day1	spring	UTK.K016.01	0	initial	ARF	temperate	1	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.02.2016.04.29.day17	spring	UTK.K016.02	313.3333333	advanced	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.26.day14	spring	UTK.K016.02	245.5555556	advanced	ARF	temperate	14	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.02.2016.05.02.day20	spring	UTK.K016.02	375.8333333	advanced	ARF	temperate	20	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.05.03.day21	spring	UTK.K016.02	394.4444444	advanced	ARF	temperate	21	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.14.day2	spring	UTK.K016.02	18.61111111	early	ARF	temperate	2	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.02.2016.04.16.day4	spring	UTK.K016.02	51.38888889	active	ARF	temperate	4	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.02.2016.04.24.day12	spring	UTK.K016.02	203.3333333	advanced	ARF	temperate	12	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.02.2016.04.20.day8	spring	UTK.K016.02	130.5555556	active	ARF	temperate	8	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.28.day16	spring	UTK.K016.02	292.2222222	advanced	ARF	temperate	16	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.23.day11	spring	UTK.K016.02	185.8333333	active	ARF	temperate	11	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.19.day7	spring	UTK.K016.02	107.2222222	active	ARF	temperate	7	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.02.2016.04.25.day13	spring	UTK.K016.02	223.6111111	advanced	ARF	temperate	13	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.21.day9	spring	UTK.K016.02	151.9444445	active	ARF	temperate	9	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.05.01.day19	spring	UTK.K016.02	354.7222222	advanced	ARF	temperate	19	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.15.day3	spring	UTK.K016.02	36.38888889	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.27.day15	spring	UTK.K016.02	269.4444445	advanced	ARF	temperate	15	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.18.day6	spring	UTK.K016.02	86.66666667	active	ARF	temperate	6	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.30.day18	spring	UTK.K016.02	332.7777778	advanced	ARF	temperate	18	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.02.2016.04.13.day1	spring	UTK.K016.02	0	initial	ARF	temperate	1	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.02.2016.04.22.day10	spring	UTK.K016.02	169.7222222	active	ARF	temperate	10	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.03.2016.05.16.day11	spring	UTK.K016.03	193.8888889	active	ARF	temperate	11	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.17.day12	spring	UTK.K016.03	213.0555556	advanced	ARF	temperate	12	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.03.2016.05.06.day1	spring	UTK.K016.03	0	initial	ARF	temperate	1	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.08.day3	spring	UTK.K016.03	41.38888889	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.07.day2	spring	UTK.K016.03	18.61111111	early	ARF	temperate	2	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.12.day7	spring	UTK.K016.03	133.3333333	active	ARF	temperate	7	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.13.day8	spring	UTK.K016.03	152.5	active	ARF	temperate	8	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.20.day15	spring	UTK.K016.03	268.8888889	advanced	ARF	temperate	15	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.10.day5	spring	UTK.K016.03	86.11111111	active	ARF	temperate	5	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.19.day14	spring	UTK.K016.03	250.8333333	advanced	ARF	temperate	14	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.22.day17	spring	UTK.K016.03	308.0555556	advanced	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.21.day16	spring	UTK.K016.03	289.1666667	advanced	ARF	temperate	16	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.09.day4	spring	UTK.K016.03	63.33333333	active	ARF	temperate	4	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.11.day6	spring	UTK.K016.03	109.7222222	active	ARF	temperate	6	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.15.day10	spring	UTK.K016.03	180.5555556	active	ARF	temperate	10	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.03.2016.05.25.day20	spring	UTK.K016.03	366.9444445	advanced	ARF	temperate	20	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.03.2016.05.24.day19	spring	UTK.K016.03	345.2777778	advanced	ARF	temperate	19	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.03.2016.05.18.day13	spring	UTK.K016.03	231.3888889	advanced	ARF	temperate	13	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.03.2016.05.14.day9	spring	UTK.K016.03	168.6111111	active	ARF	temperate	9	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.14.day19	fall	UTK.K016.04	340.2	advanced	ARF	temperate	19	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.04.2016.10.10.day15	fall	UTK.K016.04	269.7	advanced	ARF	temperate	15	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.15.day20	fall	UTK.K016.04	361.3	advanced	ARF	temperate	20	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.16.day21	fall	UTK.K016.04	383	advanced	ARF	temperate	21	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.02.day7	fall	UTK.K016.04	111.5	active	ARF	temperate	7	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.08.day13	fall	UTK.K016.04	236.2	advanced	ARF	temperate	13	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.09.day14	fall	UTK.K016.04	253.1	advanced	ARF	temperate	14	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.09.26.day1	fall	UTK.K016.04	0	initial	ARF	temperate	1	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.04.2016.10.13.day18	fall	UTK.K016.04	320.1	advanced	ARF	temperate	18	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.03.day8	fall	UTK.K016.04	130.7	active	ARF	temperate	8	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.05.day10	fall	UTK.K016.04	173.7	active	ARF	temperate	10	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.04.2016.09.27.day2	fall	UTK.K016.04	21.3	early	ARF	temperate	2	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.04.2016.10.04.day9	fall	UTK.K016.04	152.3	active	ARF	temperate	9	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.07.day12	fall	UTK.K016.04	214.5	advanced	ARF	temperate	12	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.04.2016.10.12.day17	fall	UTK.K016.04	302.8	advanced	ARF	temperate	17	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.05.2016.10.06.day11	fall	UTK.K016.05	194.1	active	ARF	temperate	11	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.05.2016.10.10.day15	fall	UTK.K016.05	269.7	advanced	ARF	temperate	15	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.16.day21	fall	UTK.K016.05	383	advanced	ARF	temperate	21	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.02.day7	fall	UTK.K016.05	111.5	active	ARF	temperate	7	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.09.27.day2	fall	UTK.K016.05	21.3	early	ARF	temperate	2	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.09.28.day3	fall	UTK.K016.05	41.7	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.12.day17	fall	UTK.K016.05	302.8	advanced	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.11.day16	fall	UTK.K016.05	286.1	advanced	ARF	temperate	16	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.05.day10	fall	UTK.K016.05	173.7	active	ARF	temperate	10	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.09.26.day1	fall	UTK.K016.05	0	initial	ARF	temperate	1	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.05.2016.10.08.day13	fall	UTK.K016.05	236.2	advanced	ARF	temperate	13	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.14.day19	fall	UTK.K016.05	340.2	advanced	ARF	temperate	19	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.09.30.day5	fall	UTK.K016.05	76.2	active	ARF	temperate	5	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.13.day18	fall	UTK.K016.05	320.1	advanced	ARF	temperate	18	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.15.day20	fall	UTK.K016.05	361.3	advanced	ARF	temperate	20	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.05.2016.09.29.day4	fall	UTK.K016.05	60.4	active	ARF	temperate	4	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.05.2016.10.09.day14	fall	UTK.K016.05	253.1	advanced	ARF	temperate	14	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.22.day18	fall	UTK.K016.06	328.2	advanced	ARF	temperate	18	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.15.day11	fall	UTK.K016.06	187.6	active	ARF	temperate	11	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.08.day4	fall	UTK.K016.06	62.5	active	ARF	temperate	4	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.14.day10	fall	UTK.K016.06	166.5	active	ARF	temperate	10	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.21.day17	fall	UTK.K016.06	316.6	advanced	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.18.day14	fall	UTK.K016.06	252.1	advanced	ARF	temperate	14	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.06.2016.10.09.day5	fall	UTK.K016.06	79.4	active	ARF	temperate	5	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.06.2016.10.17.day13	fall	UTK.K016.06	229.7	advanced	ARF	temperate	13	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.06.2016.10.24.day20	fall	UTK.K016.06	357.1	advanced	ARF	temperate	20	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.16.day12	fall	UTK.K016.06	209.3	advanced	ARF	temperate	12	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.05.day1	fall	UTK.K016.06	0	initial	ARF	temperate	1	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.06.2016.10.11.day7	fall	UTK.K016.06	112.4	active	ARF	temperate	7	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.19.day15	fall	UTK.K016.06	276	advanced	ARF	temperate	15	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.25.day21	fall	UTK.K016.06	373.2	advanced	ARF	temperate	21	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.07.day3	fall	UTK.K016.06	40.8	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.06.day2	fall	UTK.K016.06	20.4	early	ARF	temperate	2	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.13.day9	fall	UTK.K016.06	146.4	active	ARF	temperate	9	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.06.2016.10.20.day16	fall	UTK.K016.06	299.7	advanced	ARF	temperate	16	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.02.day9	summer	UTK.K016.10	170.3	active	ARF	temperate	9	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.08.day15	summer	UTK.K016.10	298.6	advanced	ARF	temperate	15	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.14.day21	summer	UTK.K016.10	441.3	advanced	ARF	temperate	21	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.05.25.day1	summer	UTK.K016.10	0	initial	ARF	temperate	1	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.03.day10	summer	UTK.K016.10	193.3	active	ARF	temperate	10	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.05.27.day3	summer	UTK.K016.10	41.5	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.01.day8	summer	UTK.K016.10	148.5	active	ARF	temperate	8	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.06.day13	summer	UTK.K016.10	258.6	advanced	ARF	temperate	13	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.10.2017.05.30.day6	summer	UTK.K016.10	105.8	active	ARF	temperate	6	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.05.28.day4	summer	UTK.K016.10	62.3	active	ARF	temperate	4	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.10.2017.06.10.day17	summer	UTK.K016.10	341.7	advanced	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.07.day14	summer	UTK.K016.10	278.9	advanced	ARF	temperate	14	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.05.day12	summer	UTK.K016.10	236.6	advanced	ARF	temperate	12	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.06.09.day16	summer	UTK.K016.10	319.6	advanced	ARF	temperate	16	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.05.31.day7	summer	UTK.K016.10	126.4	active	ARF	temperate	7	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.10.2017.05.29.day5	summer	UTK.K016.10	84.2	active	ARF	temperate	5	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.10.2017.06.12.day19	summer	UTK.K016.10	392.2	advanced	ARF	temperate	19	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.06.03.day10	summer	UTK.K016.11	193.3	active	ARF	temperate	10	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.11.2017.05.25.day1	summer	UTK.K016.11	0	initial	ARF	temperate	1	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.11.2017.06.12.day19	summer	UTK.K016.11	392.2	advanced	ARF	temperate	19	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.06.11.day18	summer	UTK.K016.11	366.3	advanced	ARF	temperate	18	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.06.09.day16	summer	UTK.K016.11	319.6	advanced	ARF	temperate	16	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.11.2017.05.27.day3	summer	UTK.K016.11	41.5	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.05.28.day4	summer	UTK.K016.11	62.3	active	ARF	temperate	4	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.06.08.day15	summer	UTK.K016.11	298.6	advanced	ARF	temperate	15	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.05.26.day2	summer	UTK.K016.11	18.3	early	ARF	temperate	2	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.11.2017.05.30.day6	summer	UTK.K016.11	105.8	active	ARF	temperate	6	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.06.07.day14	summer	UTK.K016.11	278.9	advanced	ARF	temperate	14	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.06.04.day11	summer	UTK.K016.11	215.2	advanced	ARF	temperate	11	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.06.10.day17	summer	UTK.K016.11	341.7	advanced	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.05.29.day5	summer	UTK.K016.11	84.2	active	ARF	temperate	5	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.11.2017.06.06.day13	summer	UTK.K016.11	258.6	advanced	ARF	temperate	13	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.12.2017.06.12.day19	summer	UTK.K016.12	392.2	advanced	ARF	temperate	19	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.12.2017.05.26.day2	summer	UTK.K016.12	18.3	early	ARF	temperate	2	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.12.2017.06.04.day11	summer	UTK.K016.12	215.2	advanced	ARF	temperate	11	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.12.2017.05.30.day6	summer	UTK.K016.12	105.8	active	ARF	temperate	6	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.12.2017.05.27.day3	summer	UTK.K016.12	41.5	early	ARF	temperate	3	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.12.2017.06.11.day18	summer	UTK.K016.12	366.3	advanced	ARF	temperate	18	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.12.2017.06.09.day16	summer	UTK.K016.12	319.6	advanced	ARF	temperate	16	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.12.2017.05.25.day1	summer	UTK.K016.12	0	initial	ARF	temperate	1	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.12.2017.06.01.day8	summer	UTK.K016.12	148.5	active	ARF	temperate	8	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.12.2017.05.29.day5	summer	UTK.K016.12	84.2	active	ARF	temperate	5	train	train	train	train	train	train	train	train	train	train
soil.hip.UTK.K016.12.2017.06.14.day21	summer	UTK.K016.12	441.3	advanced	ARF	temperate	21	test	test	test	test	test	test	test	test	test	test
soil.hip.UTK.K016.12.2017.06.10.day17	summer	UTK.K016.12	341.7	advanced	ARF	temperate	17	train	train	train	train	train	train	train	train	train	train
