sample_name,season,subjects,add_0c,add_0c_group,facility,climate,timepoint,traintest_0,traintest_1,traintest_2,traintest_3,traintest_4,traintest_5,traintest_6,traintest_7,traintest_8,traintest_9,metabolite_logratio,mag_logratio,18S_logratio,gene_module_logratio
soil.hip.UTK.K016.01.2016.04.24.day20,spring,UTK.K016.01,293.6111111,advanced,ARF,temperate,20,test,test,test,test,test,test,test,test,test,test,2.4468969483722542,5.677037090851752,-1.0840134892469573,2.9357130920131693
soil.hip.UTK.K016.01.2016.04.06.day2,spring,UTK.K016.01,10.55555556,early,ARF,temperate,2,train,train,train,train,train,train,train,train,train,train,2.2558711212587994,,5.3471075307174685,
soil.hip.UTK.K016.01.2016.04.21.day17,spring,UTK.K016.01,242.2222222,advanced,ARF,temperate,17,train,train,train,train,train,train,train,train,train,train,2.4894098978177848,5.8916546152653,2.0898043287153825,2.8754696777299804
soil.hip.UTK.K016.01.2016.04.23.day19,spring,UTK.K016.01,276.1111111,advanced,ARF,temperate,19,train,train,train,train,train,train,train,train,train,train,1.2434162473893124,2.6542256517241753,,3.0774513788599265
soil.hip.UTK.K016.01.2016.04.20.day16,spring,UTK.K016.01,220.8333333,advanced,ARF,temperate,16,train,train,train,train,train,train,train,train,train,train,3.3820158354842196,5.5434111777410315,,3.1235739238434546
soil.hip.UTK.K016.01.2016.04.07.day3,spring,UTK.K016.01,23.05555556,early,ARF,temperate,3,train,train,train,train,train,train,train,train,train,train,-0.39768878603483415,-6.405097366963441,1.749199854809259,
soil.hip.UTK.K016.01.2016.04.08.day4,spring,UTK.K016.01,33.05555556,early,ARF,temperate,4,train,train,train,train,train,train,train,train,train,train,2.0934148970486923,-4.4090407530499345,1.6835458845878226,
soil.hip.UTK.K016.01.2016.04.16.day12,spring,UTK.K016.01,141.6666667,active,ARF,temperate,12,train,train,train,train,train,train,train,train,train,train,1.0687651860748684,4.621771607276003,0.3101549283038394,5.013633335697902
soil.hip.UTK.K016.01.2016.04.25.day21,spring,UTK.K016.01,313.8888889,advanced,ARF,temperate,21,train,train,train,train,train,train,train,train,train,train,2.080533248211214,5.673590593210701,-0.3136575588550419,2.689781426690349
soil.hip.UTK.K016.01.2016.04.11.day7,spring,UTK.K016.01,62.50000001,active,ARF,temperate,7,train,train,train,train,train,train,train,train,train,train,1.9276554968273771,-6.079527828847893,,
soil.hip.UTK.K016.01.2016.04.10.day6,spring,UTK.K016.01,48.33333334,early,ARF,temperate,6,train,train,train,train,train,train,train,train,train,train,-0.3560864639018302,-5.146589602205436,0.3483066942682158,
soil.hip.UTK.K016.01.2016.04.22.day18,spring,UTK.K016.01,260.0,advanced,ARF,temperate,18,test,test,test,test,test,test,test,test,test,test,1.1086358323771268,1.329180284253205,,3.958868686139894
soil.hip.UTK.K016.01.2016.04.12.day8,spring,UTK.K016.01,76.3888889,active,ARF,temperate,8,train,train,train,train,train,train,train,train,train,train,1.545100226184724,-3.675801166764728,3.771117552350909,
soil.hip.UTK.K016.01.2016.04.14.day10,spring,UTK.K016.01,108.8888889,active,ARF,temperate,10,test,test,test,test,test,test,test,test,test,test,1.5320480801130358,-0.7209958531696028,0.14310084364067333,4.00582467434239
soil.hip.UTK.K016.01.2016.04.15.day11,spring,UTK.K016.01,126.6666667,active,ARF,temperate,11,train,train,train,train,train,train,train,train,train,train,2.187934059026416,3.8022773646894645,-0.5849335959197122,4.877624670362866
soil.hip.UTK.K016.01.2016.04.05.day1,spring,UTK.K016.01,0.0,initial,ARF,temperate,1,test,test,test,test,test,test,test,test,test,test,1.7676623865654104,-6.942632057188584,,
soil.hip.UTK.K016.02.2016.04.29.day17,spring,UTK.K016.02,313.3333333,advanced,ARF,temperate,17,train,train,train,train,train,train,train,train,train,train,1.8011546541273624,-1.455092652031178,,2.2651323396686758
soil.hip.UTK.K016.02.2016.04.26.day14,spring,UTK.K016.02,245.5555556,advanced,ARF,temperate,14,test,test,test,test,test,test,test,test,test,test,2.12277787069881,1.5516712010859948,-0.8109302162163288,2.723407286361118
soil.hip.UTK.K016.02.2016.05.02.day20,spring,UTK.K016.02,375.8333333,advanced,ARF,temperate,20,train,train,train,train,train,train,train,train,train,train,1.9451848631852116,-2.31437178919907,,2.7193366336685507
soil.hip.UTK.K016.02.2016.05.03.day21,spring,UTK.K016.02,394.4444444,advanced,ARF,temperate,21,train,train,train,train,train,train,train,train,train,train,1.5631613251187808,-1.3886648226620562,1.8123787564307907,3.1257538184995557
soil.hip.UTK.K016.02.2016.04.14.day2,spring,UTK.K016.02,18.61111111,early,ARF,temperate,2,test,test,test,test,test,test,test,test,test,test,1.9957051785997653,-5.5937259088618365,0.6931471805599454,5.420640539635206
soil.hip.UTK.K016.02.2016.04.16.day4,spring,UTK.K016.02,51.38888889,active,ARF,temperate,4,test,test,test,test,test,test,test,test,test,test,1.4472088563912138,-5.984196167185997,,4.526803050655811
soil.hip.UTK.K016.02.2016.04.24.day12,spring,UTK.K016.02,203.3333333,advanced,ARF,temperate,12,test,test,test,test,test,test,test,test,test,test,1.6708394077498117,-1.438031424733861,1.2130226398458537,4.397972712385362
soil.hip.UTK.K016.02.2016.04.20.day8,spring,UTK.K016.02,130.5555556,active,ARF,temperate,8,train,train,train,train,train,train,train,train,train,train,3.8684194269502203,-3.5790818016469768,,5.783199601625565
soil.hip.UTK.K016.02.2016.04.28.day16,spring,UTK.K016.02,292.2222222,advanced,ARF,temperate,16,train,train,train,train,train,train,train,train,train,train,2.2654198388848528,0.8274480443071379,,2.4460768267958057
soil.hip.UTK.K016.02.2016.04.23.day11,spring,UTK.K016.02,185.8333333,active,ARF,temperate,11,train,train,train,train,train,train,train,train,train,train,3.3536041520947926,-1.8207923225640616,,4.323002536356107
soil.hip.UTK.K016.02.2016.04.19.day7,spring,UTK.K016.02,107.2222222,active,ARF,temperate,7,test,test,test,test,test,test,test,test,test,test,2.11409213046886,-4.202425537803149,,
soil.hip.UTK.K016.02.2016.04.25.day13,spring,UTK.K016.02,223.6111111,advanced,ARF,temperate,13,train,train,train,train,train,train,train,train,train,train,0.13117710936004023,-3.2572358485733037,2.1517622032594623,4.618649051347742
soil.hip.UTK.K016.02.2016.04.21.day9,spring,UTK.K016.02,151.9444445,active,ARF,temperate,9,train,train,train,train,train,train,train,train,train,train,0.4885318307822324,-4.5673348775898965,,6.258138543291904
soil.hip.UTK.K016.02.2016.05.01.day19,spring,UTK.K016.02,354.7222222,advanced,ARF,temperate,19,train,train,train,train,train,train,train,train,train,train,2.193264612505306,-1.2452764399144431,,2.059087001336481
soil.hip.UTK.K016.02.2016.04.15.day3,spring,UTK.K016.02,36.38888889,early,ARF,temperate,3,train,train,train,train,train,train,train,train,train,train,1.5161508266921793,-6.713223939138762,,5.065809360749316
soil.hip.UTK.K016.02.2016.04.27.day15,spring,UTK.K016.02,269.4444445,advanced,ARF,temperate,15,train,train,train,train,train,train,train,train,train,train,2.0141540223669896,-0.39320093726461103,,3.020733248084678
soil.hip.UTK.K016.02.2016.04.18.day6,spring,UTK.K016.02,86.66666667,active,ARF,temperate,6,train,train,train,train,train,train,train,train,train,train,1.6516950379771291,-6.6632871301947265,,
soil.hip.UTK.K016.02.2016.04.30.day18,spring,UTK.K016.02,332.7777778,advanced,ARF,temperate,18,train,train,train,train,train,train,train,train,train,train,1.9306300050604683,2.6753495054298284,,2.1321194399225485
soil.hip.UTK.K016.02.2016.04.13.day1,spring,UTK.K016.02,0.0,initial,ARF,temperate,1,test,test,test,test,test,test,test,test,test,test,2.0298181405283877,-7.133821338889305,,
soil.hip.UTK.K016.02.2016.04.22.day10,spring,UTK.K016.02,169.7222222,active,ARF,temperate,10,test,test,test,test,test,test,test,test,test,test,1.5242775210185542,-2.2389956683160364,,4.110307151015288
soil.hip.UTK.K016.03.2016.05.16.day11,spring,UTK.K016.03,193.8888889,active,ARF,temperate,11,train,train,train,train,train,train,train,train,train,train,3.8163200989136232,-1.1480255216194788,,1.8456531871657464
soil.hip.UTK.K016.03.2016.05.17.day12,spring,UTK.K016.03,213.0555556,advanced,ARF,temperate,12,test,test,test,test,test,test,test,test,test,test,2.1555680634128116,-0.21222866733030266,-0.09531017980432521,1.5520415589231469
soil.hip.UTK.K016.03.2016.05.06.day1,spring,UTK.K016.03,0.0,initial,ARF,temperate,1,train,train,train,train,train,train,train,train,train,train,2.365310821767496,-8.750659441681398,1.6094379124341005,
soil.hip.UTK.K016.03.2016.05.08.day3,spring,UTK.K016.03,41.38888889,early,ARF,temperate,3,train,train,train,train,train,train,train,train,train,train,4.25474794831851,-7.599347766633517,1.6451559950361796,
soil.hip.UTK.K016.03.2016.05.07.day2,spring,UTK.K016.03,18.61111111,early,ARF,temperate,2,train,train,train,train,train,train,train,train,train,train,2.1146523823239516,-8.211315202216806,,
soil.hip.UTK.K016.03.2016.05.12.day7,spring,UTK.K016.03,133.3333333,active,ARF,temperate,7,train,train,train,train,train,train,train,train,train,train,2.7571487186146246,-6.898587721714264,,3.695141878733302
soil.hip.UTK.K016.03.2016.05.13.day8,spring,UTK.K016.03,152.5,active,ARF,temperate,8,train,train,train,train,train,train,train,train,train,train,1.31581164333838,-4.5089319003566874,,4.595083671421403
soil.hip.UTK.K016.03.2016.05.20.day15,spring,UTK.K016.03,268.8888889,advanced,ARF,temperate,15,train,train,train,train,train,train,train,train,train,train,2.3587814594180134,0.3138309339629295,1.8458266904983305,1.5772269752191477
soil.hip.UTK.K016.03.2016.05.10.day5,spring,UTK.K016.03,86.11111111,active,ARF,temperate,5,train,train,train,train,train,train,train,train,train,train,2.6072731546231065,-3.709353659105,,4.103026788046623
soil.hip.UTK.K016.03.2016.05.19.day14,spring,UTK.K016.03,250.8333333,advanced,ARF,temperate,14,train,train,train,train,train,train,train,train,train,train,2.311252374389772,-0.0714125838037436,,1.6752147004114457
soil.hip.UTK.K016.03.2016.05.22.day17,spring,UTK.K016.03,308.0555556,advanced,ARF,temperate,17,train,train,train,train,train,train,train,train,train,train,3.091479464473471,0.36562879200921117,,1.1875323112653122
soil.hip.UTK.K016.03.2016.05.21.day16,spring,UTK.K016.03,289.1666667,advanced,ARF,temperate,16,train,train,train,train,train,train,train,train,train,train,1.1264796894956923,-2.834649505140357,3.899950424193877,1.5633516472431896
soil.hip.UTK.K016.03.2016.05.09.day4,spring,UTK.K016.03,63.33333333,active,ARF,temperate,4,train,train,train,train,train,train,train,train,train,train,3.2258587895949535,-3.082889205604017,1.1986957472250923,4.897940189822652
soil.hip.UTK.K016.03.2016.05.11.day6,spring,UTK.K016.03,109.7222222,active,ARF,temperate,6,train,train,train,train,train,train,train,train,train,train,1.8779707359555964,-7.971376929757491,,
soil.hip.UTK.K016.03.2016.05.15.day10,spring,UTK.K016.03,180.5555556,active,ARF,temperate,10,test,test,test,test,test,test,test,test,test,test,3.056302533140844,-1.7422137487026887,0.8544153281560676,1.7042183704155738
soil.hip.UTK.K016.03.2016.05.25.day20,spring,UTK.K016.03,366.9444445,advanced,ARF,temperate,20,test,test,test,test,test,test,test,test,test,test,2.6915194545019627,2.2589528419752565,,1.6000617350613116
soil.hip.UTK.K016.03.2016.05.24.day19,spring,UTK.K016.03,345.2777778,advanced,ARF,temperate,19,test,test,test,test,test,test,test,test,test,test,1.7414927671379665,0.806470922859921,,1.4223128729080052
soil.hip.UTK.K016.03.2016.05.18.day13,spring,UTK.K016.03,231.3888889,advanced,ARF,temperate,13,train,train,train,train,train,train,train,train,train,train,2.3255996306246214,0.5679286925632514,,1.6045578343705378
soil.hip.UTK.K016.03.2016.05.14.day9,spring,UTK.K016.03,168.6111111,active,ARF,temperate,9,train,train,train,train,train,train,train,train,train,train,2.268537515551543,-0.4445803853073613,,1.9067982928456368
soil.hip.UTK.K016.04.2016.10.14.day19,fall,UTK.K016.04,340.2,advanced,ARF,temperate,19,test,test,test,test,test,test,test,test,test,test,2.8096303540050815,3.0703247035190238,6.419302438942968,2.6828664016670816
soil.hip.UTK.K016.04.2016.10.10.day15,fall,UTK.K016.04,269.7,advanced,ARF,temperate,15,train,train,train,train,train,train,train,train,train,train,3.6967536254691282,3.4239825526330616,5.734095239621077,2.910389684520718
soil.hip.UTK.K016.04.2016.10.15.day20,fall,UTK.K016.04,361.3,advanced,ARF,temperate,20,train,train,train,train,train,train,train,train,train,train,3.141497811324337,2.520383367539411,5.6706420545661675,2.404757054274177
soil.hip.UTK.K016.04.2016.10.16.day21,fall,UTK.K016.04,383.0,advanced,ARF,temperate,21,train,train,train,train,train,train,train,train,train,train,2.5733688534326458,4.523922382521418,4.14415662964808,2.289410898838729
soil.hip.UTK.K016.04.2016.10.02.day7,fall,UTK.K016.04,111.5,active,ARF,temperate,7,train,train,train,train,train,train,train,train,train,train,1.557505361540155,3.70944236161667,5.461222180486943,3.690884200893528
soil.hip.UTK.K016.04.2016.10.08.day13,fall,UTK.K016.04,236.2,advanced,ARF,temperate,13,train,train,train,train,train,train,train,train,train,train,2.9265564667188286,4.6881942277657185,6.084135476240189,2.659254026381446
soil.hip.UTK.K016.04.2016.10.09.day14,fall,UTK.K016.04,253.1,advanced,ARF,temperate,14,train,train,train,train,train,train,train,train,train,train,3.1059105225473846,4.765119719536431,6.057881634000304,2.8513773766943977
soil.hip.UTK.K016.04.2016.09.26.day1,fall,UTK.K016.04,0.0,initial,ARF,temperate,1,test,test,test,test,test,test,test,test,test,test,0.6601650634958567,-5.8605052473758,-1.2031688072689022,
soil.hip.UTK.K016.04.2016.10.13.day18,fall,UTK.K016.04,320.1,advanced,ARF,temperate,18,train,train,train,train,train,train,train,train,train,train,2.548152169724757,6.083273723206643,1.024312886470284,3.1686262607933147
soil.hip.UTK.K016.04.2016.10.03.day8,fall,UTK.K016.04,130.7,active,ARF,temperate,8,train,train,train,train,train,train,train,train,train,train,1.2613112772821147,1.8237812850438662,3.305821120379343,3.129288374532857
soil.hip.UTK.K016.04.2016.10.05.day10,fall,UTK.K016.04,173.7,active,ARF,temperate,10,test,test,test,test,test,test,test,test,test,test,2.149563231596348,2.0090921423481056,4.151495090512091,2.4221523047462474
soil.hip.UTK.K016.04.2016.09.27.day2,fall,UTK.K016.04,21.3,early,ARF,temperate,2,test,test,test,test,test,test,test,test,test,test,4.4047805334269725,-3.0786091728263933,0.3931089908015384,3.49985320210312
soil.hip.UTK.K016.04.2016.10.04.day9,fall,UTK.K016.04,152.3,active,ARF,temperate,9,train,train,train,train,train,train,train,train,train,train,4.598801941390777,3.902131909950487,4.194839172939733,2.9422767607544937
soil.hip.UTK.K016.04.2016.10.07.day12,fall,UTK.K016.04,214.5,advanced,ARF,temperate,12,train,train,train,train,train,train,train,train,train,train,3.319840374895529,1.48065706765923,-0.18428177083062813,2.3269703964178587
soil.hip.UTK.K016.04.2016.10.12.day17,fall,UTK.K016.04,302.8,advanced,ARF,temperate,17,test,test,test,test,test,test,test,test,test,test,2.4161527618001504,4.641185364606805,8.43457487804951,2.658375995119039
soil.hip.UTK.K016.05.2016.10.06.day11,fall,UTK.K016.05,194.1,active,ARF,temperate,11,test,test,test,test,test,test,test,test,test,test,2.5702399059204915,2.6719820407161947,6.952933370570889,2.5834672660246527
soil.hip.UTK.K016.05.2016.10.10.day15,fall,UTK.K016.05,269.7,advanced,ARF,temperate,15,train,train,train,train,train,train,train,train,train,train,3.673506832870869,2.9374986107669834,3.7284354429748507,2.3319541973382503
soil.hip.UTK.K016.05.2016.10.16.day21,fall,UTK.K016.05,383.0,advanced,ARF,temperate,21,train,train,train,train,train,train,train,train,train,train,3.225441614261806,3.1093164100261745,3.1145824111884775,2.564142145271438
soil.hip.UTK.K016.05.2016.10.02.day7,fall,UTK.K016.05,111.5,active,ARF,temperate,7,train,train,train,train,train,train,train,train,train,train,3.2299042364439927,0.6222945522323027,-1.3238652609325552,3.5040369593312786
soil.hip.UTK.K016.05.2016.09.27.day2,fall,UTK.K016.05,21.3,early,ARF,temperate,2,train,train,train,train,train,train,train,train,train,train,2.480761159240009,-6.431206790420826,-2.8963026812970236,
soil.hip.UTK.K016.05.2016.09.28.day3,fall,UTK.K016.05,41.7,early,ARF,temperate,3,train,train,train,train,train,train,train,train,train,train,2.837273934427012,-7.191211555038159,-2.8719370944279587,
soil.hip.UTK.K016.05.2016.10.12.day17,fall,UTK.K016.05,302.8,advanced,ARF,temperate,17,train,train,train,train,train,train,train,train,train,train,3.5774652962817015,3.027069359171538,2.687487350348201,2.752451300057418
soil.hip.UTK.K016.05.2016.10.11.day16,fall,UTK.K016.05,286.1,advanced,ARF,temperate,16,train,train,train,train,train,train,train,train,train,train,2.7964354318869873,2.863511954560245,2.2071033454406592,2.354249656295657
soil.hip.UTK.K016.05.2016.10.05.day10,fall,UTK.K016.05,173.7,active,ARF,temperate,10,train,train,train,train,train,train,train,train,train,train,3.209730661299716,3.116630799485071,3.3995876376970333,3.034105263219975
soil.hip.UTK.K016.05.2016.09.26.day1,fall,UTK.K016.05,0.0,initial,ARF,temperate,1,test,test,test,test,test,test,test,test,test,test,2.599057283822674,-8.480877404735423,-4.203505092633095,
soil.hip.UTK.K016.05.2016.10.08.day13,fall,UTK.K016.05,236.2,advanced,ARF,temperate,13,train,train,train,train,train,train,train,train,train,train,2.3366194410415098,2.43746875141143,2.665551344755615,2.5723923310854326
soil.hip.UTK.K016.05.2016.10.14.day19,fall,UTK.K016.05,340.2,advanced,ARF,temperate,19,train,train,train,train,train,train,train,train,train,train,2.681632640818199,3.557189565049809,4.11572886284988,2.7550794575849507
soil.hip.UTK.K016.05.2016.09.30.day5,fall,UTK.K016.05,76.2,active,ARF,temperate,5,train,train,train,train,train,train,train,train,train,train,3.598670789476502,-1.138275242601562,1.075221896336954,6.630581144327321
soil.hip.UTK.K016.05.2016.10.13.day18,fall,UTK.K016.05,320.1,advanced,ARF,temperate,18,train,train,train,train,train,train,train,train,train,train,3.9975372131593154,3.7043117468958933,4.078709339847647,3.055654329645246
soil.hip.UTK.K016.05.2016.10.15.day20,fall,UTK.K016.05,361.3,advanced,ARF,temperate,20,test,test,test,test,test,test,test,test,test,test,4.306794280507621,4.162936855809827,2.9627639551934895,2.7145142306987236
soil.hip.UTK.K016.05.2016.09.29.day4,fall,UTK.K016.05,60.4,active,ARF,temperate,4,train,train,train,train,train,train,train,train,train,train,2.288359165016047,-5.986718419283441,-2.155932799914133,4.121760469766308
soil.hip.UTK.K016.05.2016.10.09.day14,fall,UTK.K016.05,253.1,advanced,ARF,temperate,14,train,train,train,train,train,train,train,train,train,train,3.7937199348436685,3.0429510775425808,5.775950969878918,2.421665053354925
soil.hip.UTK.K016.06.2016.10.22.day18,fall,UTK.K016.06,328.2,advanced,ARF,temperate,18,train,train,train,train,train,train,train,train,train,train,3.1118950958885847,4.257675227490568,4.176708991078268,2.714778792159122
soil.hip.UTK.K016.06.2016.10.15.day11,fall,UTK.K016.06,187.6,active,ARF,temperate,11,train,train,train,train,train,train,train,train,train,train,2.1299656693596365,3.2052738361524575,2.211157253440163,2.9010303615337314
soil.hip.UTK.K016.06.2016.10.08.day4,fall,UTK.K016.06,62.5,active,ARF,temperate,4,train,train,train,train,train,train,train,train,train,train,4.931601453234604,-1.6101239905642792,-0.7816949683696741,5.260835999496271
soil.hip.UTK.K016.06.2016.10.14.day10,fall,UTK.K016.06,166.5,active,ARF,temperate,10,train,train,train,train,train,train,train,train,train,train,4.153550859068584,3.1818863283999566,2.6178774257194934,2.8510374018979716
soil.hip.UTK.K016.06.2016.10.21.day17,fall,UTK.K016.06,316.6,advanced,ARF,temperate,17,train,train,train,train,train,train,train,train,train,train,3.1728602898363185,3.3332512411423014,1.846746640211519,2.420308299372545
soil.hip.UTK.K016.06.2016.10.18.day14,fall,UTK.K016.06,252.1,advanced,ARF,temperate,14,test,test,test,test,test,test,test,test,test,test,3.602618248822086,3.2423432644842123,1.8734666409858711,2.4301353198312414
soil.hip.UTK.K016.06.2016.10.09.day5,fall,UTK.K016.06,79.4,active,ARF,temperate,5,test,test,test,test,test,test,test,test,test,test,2.1149204217753113,-1.2863873610318333,-1.6250508047583043,3.8483870355079217
