rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	2	1	1	0.9910335989626634	-309.84491214657186	0.0050251256281407045	13.903626416668292	C45H60O5	[M + Na]+	FFZNHBLUOGSJBK	InChI=1S/C45H60O5/c1-11-26-27(12-2)37-22-39-30(15-5)31(16-6)41(48-39)24-43-34(19-9)35(20-10)45(50-43)25-44-33(18-8)32(17-7)42(49-44)23-40-29(14-4)28(13-3)38(47-40)21-36(26)46-37/h11-25H2,1-10H3	4,5,9,10,14,15,19,20,24,25-decaethyl-26,27,28,29,30-pentaoxahexacyclo[21.2.1.1(3,6).18,11.1(13,16).1(18,21)]triaconta-1(25),3,5,8,10,13,15,18,20,23-decaene	CCC1=C2CC3=C(C(=C(O3)CC4=C(C(=C(O4)CC5=C(C(=C(O5)CC6=C(C(=C(O6)CC(=C1CC)O2)CC)CC)CC)CC)CC)CC)CC)CC	13.3000002	25137948	PubChem:(25137948);CHEBI:(51409)	34	703.4418	NaN	3312_specs_ms_FEATURE_3314
12	1	1	1	0.9908180685529342	-57.12239725284865	0.9999999999999999	23.134473737482118	C23H43NO5	[M + H]+	ATFFFUXLAJBBDE	InChI=1S/C23H43NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(25)24-20(23(28)29)18-19-22(26)27/h20H,2-19H2,1H3,(H,24,25)(H,26,27)(H,28,29)	Amisoft HA	CCCCCCCCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O	7.4000001	94481;102996;20606586;20365744;57471035;57471036	NORMAN:(NS00013631);PubChem class - safety and toxic;PubChem:(94481 102996 20606586 20365744 57471035 57471036);PubMed	67371074	414.3223	NaN	890_specs_ms_FEATURE_892
13	1	1	1	0.9895138282470214	-442.9185149182284	0.09899497487437187	11.542606744387811	C43H66O7	[M + H]+	RRLORPIXGKUDGE	InChI=1S/C43H66O7/c1-8-9-31-41-16-14-30-38(4)20-19-36(2)17-18-37(3,35(46)47)25-32(36)39(38,5)21-22-40(30,6)42(41,27-44)33(45)26-43(31,48)50-34(41)24-29-12-10-28(11-13-29)15-23-49-7/h10-13,30-34,44-45,48H,8-9,14-27H2,1-7H3,(H,46,47)/p-1	null	CCCC1C23CCC4C5(CCC6(CCC(CC6C5(CCC4(C2(C(CC1(OC3CC7=CC=C(C=C7)CCOC)O)O)CO)C)C)(C)C(=O)[O-])C)C	8.15862846	""	COCONUT:(CNP0052069 CNP0296392);SuperNatural:(SN00167630)	3145728	695.4935	NaN	2747_specs_ms_FEATURE_2749
14	4	1	2	0.9814535986990507	-409.35639264240325	0.02060301507537689	22.727382203685913	C25H43N13O11	[M + H]+	JCTPGOAHEVLZAB	InChI=1S/C25H43N13O11/c26-2-1-15(41)9(27)3-16(42)32-11-5-30-23(48)18(10-4-17(43)37-24(28)36-10)38-20(45)12(6-31-25(29)49)33-21(46)13(7-39)35-22(47)14(8-40)34-19(11)44/h6,9-11,13-15,17-18,39-41,43H,1-5,7-8,26-27H2,(H,30,48)(H,32,42)(H,33,46)(H,34,44)(H,35,47)(H,38,45)(H3,28,36,37)(H3,29,31,49)	Tuberactinomycin	C1C(NC(=NC1O)N)C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CO)CO)NC(=O)CC(C(CCN)O)N	-7.9000001	3038340;10009954;20055057;25245293;101652803;135565959;135906665;136494777	NORMAN:(NS00011852);COCONUT:(CNP0155748);PubChem:(3038340 10009954 20055057 25245293 101652803 135565959 135906665 136494777);PubChem class - safety and toxic;Biocyc:(TUBERACTINOMYCIN-A);KEGG Mine	8659404802	702.3259	NaN	328_specs_ms_FEATURE_330
15	1	1	1	0.9789581598600466	-287.2632027216527	0.9979899497487436	11.364140614727775	C23H39NO6	[M + H]+	YRUGYYZQISUWGN	InChI=1S/C23H39NO6/c1-2-3-6-9-18(27)12-13-20-19(21(28)14-22(20)29)10-7-4-5-8-11-23(30)24-17(15-25)16-26/h4,7,12-13,17-21,25-28H,2-3,5-6,8-11,14-16H2,1H3,(H,24,30)	PGD2-dihydroxypropanylamine	CCCCCC(C=CC1C(C(CC1=O)O)CC=CCCCC(=O)NC(CO)CO)O	1.10000002	24778493;57347686;53394077	COCONUT:(CNP0348025);Training Set;PubChem:(24778493 57347686 53394077);additional	2637826	426.2858	NaN	2158_specs_ms_FEATURE_2160
16	1	1	2	0.9754888082748647	-176.31173002711992	0.9738693467336684	14.158620572563814	C30H60O9	[M + H]+	LVHZSSVOODJLAY	InChI=1S/C30H60O9/c1-29(2,3)26-30(4,5)27-6-8-28(9-7-27)39-25-24-38-23-22-37-21-20-36-19-18-35-17-16-34-15-14-33-13-12-32-11-10-31/h27-28,31H,6-26H2,1-5H3	2-[2-[2-[2-[2-[2-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)cyclohexyl]oxyethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol	CC(C)(C)CC(C)(C)C1CCC(CC1)OCCOCCOCCOCCOCCOCCOCCOCCO	3.29999995	4194507	PubChem:(4194507);Maconda:(CON00160)	1026	565.4287	NaN	1353_specs_ms_FEATURE_1355
17	1	1	1	0.975285403375337	-61.39210735811263	0.9989949748743717	37.53365514823709	C25H34O9	[M + H]+	WRUJLWFLDOUUHV	InChI=1S/C25H34O9/c26-14-21-22(30)23(31)24(32)25(34-21)33-20(12-6-16-3-9-18(28)10-4-16)13-19(29)11-5-15-1-7-17(27)8-2-15/h1-4,7-10,19-32H,5-6,11-14H2	null	C1=CC(=CC=C1CCC(CC(CCC2=CC=C(C=C2)O)OC3C(C(C(C(O3)CO)O)O)O)O)O	1.70000005	10896097;9982517;10390332;46905137;46905138	COCONUT:(CNP0234580);Natural Products:(UNPD66420 UNPD31653 UNPD100030 UNPD6054);PubChem:(10896097 9982517 10390332 46905137 46905138);SuperNatural:(SN00308176 SN00388373 SN00256759);PubMed	3178562	479.2269	NaN	309_specs_ms_FEATURE_311
18	1	1	1	0.9718645996493149	-96.60947814462051	0.9477386934673369	4.788096861139139	C18H39NO3	[M + H]+	AERBNCYCJBRYDG	InChI=1S/C18H39NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17(21)18(22)16(19)15-20/h16-18,20-22H,2-15,19H2,1H3	phytosphingosine	CCCCCCCCCCCCCCC(C(C(CO)N)O)O	4.5999999	122121;248575;12314234;10892490;10892491;11544231;10936149;11688287;11099168;11290089;15971470;56927898;58312003;71357922;89371037;100977523;123143330;129630743;131698681	HMDB:(4610);SuperNatural:(SN00316775 SN00355444 SN00240284);ZINC bio:(ZINC08437018 ZINC59066904);additional;MeSH:(122121 10892491 11099168 11544231);Plantcyc:(MONO-VINYL-PROTOCHLOROPHYLLIDE-A PHYTOSPINGOSINE);PubMed;NORMAN:(NS00009822);COCONUT:(CNP0274802);KNApSAcK:(7543);Natural Products:(UNPD168973 UNPD74655 UNPD186473);PubChem:(122121 248575 12314234 10892490 10892491 11544231 10936149 11688287 11099168 11290089 15971470 56927898 58312003 71357922 89371037 100977523 123143330 129630743 131698681);CHEBI:(64124 73479 46961);PubChem class - bio and metabolites;KEGG:(C12144);PubChem class - safety and toxic;YMDB:(1101 285);Training Set;Biocyc:(PHYTOSPINGOSINE)	88074622	318.2992	NaN	312_specs_ms_FEATURE_314
19	3	1	1	0.9710606249282094	-109.87742454972285	0.0678391959798995	10.483646431411849	C25H49NO3	[M + Na]+	RDUKYODUVJPRLK	InChI=1S/C25H49NO3/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-24(27)26-23-25(28)29/h2-23H2,1H3,(H,26,27)(H,28,29)	acylglycine c:23	CCCCCCCCCCCCCCCCCCCCCCC(=O)NCC(=O)O	10.3000002	45357456	COCONUT:(CNP0397574);HMDB:(13314);PubChem:(45357456)	2097162	434.3613	NaN	2185_specs_ms_FEATURE_2187
20	1	1	1	0.9705261562514305	-169.87005846731896	0.6190954773869347	2.143261385084283	C17H31NO5	[M + H]+	DZALQUYFNHIYDL	InChI=1S/C17H31NO5/c1-5-6-9-14(19)10-7-8-11-17(22)23-15(12-16(20)21)13-18(2,3)4/h15H,5-13H2,1-4H3/p+1	6-Keto-decanoylcarnitine	CCCCC(=O)CCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	1.39999998	53481649;53481650	COCONUT:(CNP0187067);PubChem:(53481649 53481650);CHEBI:(137055);PubChem class - bio and metabolites	18874402	330.2281	NaN	1991_specs_ms_FEATURE_1993
21	1	1	1	0.9676938780022166	-193.14527740777305	0.9999999999999999	41.332022024978116	C36H62O7	[M + Na]+	MFMVPOLQJBZZHS	InChI=1S/C36H62O7/c1-3-4-5-6-7-8-9-10-11-12-15-22-32(39)34-24-25-35(43-34)33(40)23-16-13-14-19-30(38)20-17-18-21-31-27-29(26-28(2)37)36(41)42-31/h11-12,29,31-35,39-40H,3-10,13-27H2,1-2H3	(2,4-cis and trans)-Mosinone A	CCCCCCCCCC=CCCC(C1CCC(O1)C(CCCCCC(=O)CCCCC2CC(C(=O)O2)CC(=O)C)O)O	7.4000001	10746255;10416253;44566673;101712858;101712859	COCONUT:(CNP0081802);PubChem:(10746255 10416253 44566673 101712858 101712859);PubMed	2097218	629.4431	NaN	2426_specs_ms_FEATURE_2428
22	1	1	1	0.9672399024141135	-272.5483983963876	0.9979899497487438	44.90072912443745	C31H56O9	[M + H]+	UUQBKUDQQXPGGI	InChI=1S/C31H56O9/c1-6-7-8-9-10-11-12-16-25(33)17-14-13-15-21(2)18-22(3)19-23(4)27(34)24(5)31(39)40-26(20-32)28(35)29(36)30(37)38/h19,21-22,24-26,28-29,32-33,35-36H,6-18,20H2,1-5H3,(H,37,38)	null	CCCCCCCCCC(CCCCC(C)CC(C)C=C(C)C(=O)C(C)C(=O)OC(CO)C(C(C(=O)O)O)O)O	6.69999981	9872894	PubChem:(9872894);COCONUT:(CNP0351269)	2097154	573.3987	NaN	3635_specs_ms_FEATURE_3637
23	1	1	1	0.9670878747898936	-98.4564802575465	0.9999999999999999	8.566810419945035	C24H47NO3	[M + H]+	FTIQEVPFMLQJJT	InChI=1S/C24H47NO3/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(26)25-22(24(27)28)20-21(2)3/h21-22H,4-20H2,1-3H3,(H,25,26)(H,27,28)	N-Stearoyl-L-leucine	CCCCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)O	9.30000019	203427;22904230;90102975	NORMAN:(NS00014118);PubChem class - safety and toxic;PubChem:(203427 22904230 90102975)	67371010	398.3614	NaN	2317_specs_ms_FEATURE_2319
24	2	1	2	0.965730203433566	-167.89037819735992	0.18291457286432164	10.002601415715626	C48H72O2	[M + H]+	XNCZYLCBNZVJPV	InChI=1S/C48H72O2/c1-36(2)19-12-20-37(3)21-13-22-38(4)23-14-24-39(5)25-15-26-40(6)27-16-28-41(7)29-17-30-42(8)31-18-32-43(9)33-34-46-35-47(49)44(10)45(11)48(46)50/h19,21,23,25,27,29,31,33,35H,12-18,20,22,24,26,28,30,32,34H2,1-11H3	null	CC1=C(C(=O)C(=CC1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C	15.1118374	101967154;131750962	COCONUT:(CNP0223115);HMDB:(30129);Natural Products:(UNPD121895);PubChem:(101967154 131750962);SuperNatural:(SN00373168);PubChem class - bio and metabolites	19955722	681.5616	NaN	786_specs_ms_FEATURE_788
25	1	1	1	0.9647359057643606	-171.85141565455436	0.21155778894472366	4.811849475738365	C13H25N3O4	[M + Na]+	AAKRWBIIGKPOKQ	InChI=1S/C13H25N3O4/c1-7(2)5-9(14)12(19)16-11(8(3)4)13(20)15-6-10(17)18/h7-9,11H,5-6,14H2,1-4H3,(H,15,20)(H,16,19)(H,17,18)	L-leucyl-L-valylglycine	CC(C)CC(C(=O)NC(C(C)C)C(=O)NCC(=O)O)N	-0.099836126	18222316;71464648	PubChem:(18222316 71464648);CHEBI:(73577)	34	310.1789	NaN	3065_specs_ms_FEATURE_3067
26	1	1	1	0.9624392826566498	-185.74361611380417	0.9999999999999999	42.68996413747779	C36H62O7	[M + H]+	MFMVPOLQJBZZHS	InChI=1S/C36H62O7/c1-3-4-5-6-7-8-9-10-11-12-15-22-32(39)34-24-25-35(43-34)33(40)23-16-13-14-19-30(38)20-17-18-21-31-27-29(26-28(2)37)36(41)42-31/h11-12,29,31-35,39-40H,3-10,13-27H2,1-2H3	(2,4-cis and trans)-Mosinone A	CCCCCCCCCC=CCCC(C1CCC(O1)C(CCCCCC(=O)CCCCC2CC(C(=O)O2)CC(=O)C)O)O	7.4000001	10746255;10416253;44566673;101712858;101712859	COCONUT:(CNP0081802);PubChem:(10746255 10416253 44566673 101712858 101712859);PubMed	2097218	607.4547	NaN	2930_specs_ms_FEATURE_2932
27	1	1	1	0.9583141427557308	-180.90319435854371	0.9999999999999999	15.391740774660635	C36H62O7	[M + Na]+	MFMVPOLQJBZZHS	InChI=1S/C36H62O7/c1-3-4-5-6-7-8-9-10-11-12-15-22-32(39)34-24-25-35(43-34)33(40)23-16-13-14-19-30(38)20-17-18-21-31-27-29(26-28(2)37)36(41)42-31/h11-12,29,31-35,39-40H,3-10,13-27H2,1-2H3	(2,4-cis and trans)-Mosinone A	CCCCCCCCCC=CCCC(C1CCC(O1)C(CCCCCC(=O)CCCCC2CC(C(=O)O2)CC(=O)C)O)O	7.4000001	10746255;10416253;44566673;101712858;101712859	COCONUT:(CNP0081802);PubChem:(10746255 10416253 44566673 101712858 101712859);PubMed	2097218	629.4369	NaN	1610_specs_ms_FEATURE_1612
28	3	1	1	0.9505627021476687	-231.6402469442957	0.015577889447236183	7.250428040781216	C30H62N4O2	[M + K]+	TVBANASQCOWJTC	InChI=1S/C30H62N4O2/c1-3-5-7-9-11-13-15-17-19-21-29(35)33-27-25-31-23-24-32-26-28-34-30(36)22-20-18-16-14-12-10-8-6-4-2/h31-32H,3-28H2,1-2H3,(H,33,35)(H,34,36)	N,N''-(Ethylenebis(iminoethylene))bis(dodecanamide)	CCCCCCCCCCCC(=O)NCCNCCNCCNC(=O)CCCCCCCCCCC	8.30000019	44147678	PubChem:(44147678);NORMAN:(NS00062241)	262146	549.4477	NaN	2364_specs_ms_FEATURE_2366
29	3	1	2	0.9455097419094239	-227.03312627077116	0.17889447236180905	14.223531101142978	C24H51NO4	[M + Na]+	QCOZKOLXTLBJRT	InChI=1S/C24H51NO4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(19-23(28)21-26)20-24(29)22-27/h23-24,26-29H,2-22H2,1H3	3,3''-(octadecylimino)dipropane-1,2-diol	CCCCCCCCCCCCCCCCCCN(CC(CO)O)CC(CO)O	6.5	108488	PubChem:(108488);NORMAN:(NS00054306)	262146	440.3642	NaN	1616_specs_ms_FEATURE_1618
30	1	1	2	0.9392551615069383	-184.80534606803428	0.8241206030150756	12.280052640350316	C34H42O13	[M + H]+	ZSOOZVKVZYCEEC	InChI=1S/C34H42O13/c1-42-24-8-6-21(7-9-24)33(41)45-18-29-30(38)31(39)32(40)34(47-29)46-26-11-5-20(15-28(26)44-3)13-23(17-36)22(16-35)12-19-4-10-25(37)27(14-19)43-2/h4-11,14-15,22-23,29-32,34-40H,12-13,16-18H2,1-3H3	[(2R,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[4-[4-hydroxy-3-[(4-hydroxy-3-methoxyphenyl)methyl]-2-(hydroxymethyl)butyl]-2-methoxyphenoxy]oxan-2-yl]methyl 4-methoxybenzoate	COC1=CC=C(C=C1)C(=O)OCC2C(C(C(C(O2)OC3=C(C=C(C=C3)CC(CO)C(CC4=CC(=C(C=C4)O)OC)CO)OC)O)O)O	2.4000001	21579212	COCONUT:(CNP0228611);Natural Products:(UNPD1249);PubChem:(21579212);SuperNatural:(SN00289992)	3178498	659.2697	NaN	440_specs_ms_FEATURE_442
31	1	1	1	0.9363000752372783	-71.67728587273155	0.9999999999999999	19.72493694875911	C24H50O4	[M + H]+	KPRFGGDCSHOVQB	InChI=1S/C24H50O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-26-21-23-28-24-22-27-20-18-25/h25H,2-24H2,1H3	Octadecyltriglycol	CCCCCCCCCCCCCCCCCCOCCOCCOCCO	7.10763216	4172276	PubChem:(4172276);NORMAN:(NS00014531)	262146	403.3758	NaN	2888_specs_ms_FEATURE_2890
32	2	1	1	0.9310550532223346	-149.39745984718866	5.025125628140704E-4	38.00391683591418	C29H48O12	[M + H]+	UDOOGZKVBWCNQJ	InChI=1S/C29H48O12/c1-13-22(34)23(35)24(36)25(40-13)41-15-8-19(32)28(12-30)21-17(3-5-27(28,37)9-15)29(38)6-4-16(14-7-20(33)39-11-14)26(29,2)10-18(21)31/h13-25,30-38H,3-12H2,1-2H3	null	CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6CC(OC6)O)O)CO)O)O)O)O	-0.594725728	""	COCONUT:(CNP0039593)	2097152	589.3215	NaN	326_specs_ms_FEATURE_328
33	1	1	1	0.9308122124728127	-97.07194895782936	0.9683417085427136	3.167659441291444	C21H39NO3	[M + H]+	DIOYAVUHUXAUPX	InChI=1S/C21H39NO3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20(23)22(2)19-21(24)25/h10-11H,3-9,12-19H2,1-2H3,(H,24,25)	Hamposyl O	CCCCCCCCC=CCCCCCCCC(=O)N(C)CC(=O)O	6.80000019	61029;5879967;6912870;22061654	NORMAN:(NS00003064);PubChem class - food;PubChem:(61029 5879967 6912870 22061654);additional;PubChem class - safety and toxic;Training Set;PubMed	202129474	354.2986	NaN	2203_specs_ms_FEATURE_2205
34	1	1	2	0.9270031556912518	-222.3216919790314	0.3603015075376884	10.13910330004392	C21H42N6O4	[M + H]+	OLVZHXQGPQPMON	InChI=1S/C21H42N6O4/c1-14(2)12-16(13-28)25-20(30)17(8-4-6-10-22)27-21(31)18(9-5-7-11-23)26-19(29)15(3)24/h13-18H,4-12,22-24H2,1-3H3,(H,25,30)(H,26,29)(H,27,31)	null	CC(C)CC(C=O)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(C)N	-0.699999988	52914867	PubChem:(52914867);PubChem class - bio and metabolites	16777218	443.3324	NaN	2154_specs_ms_FEATURE_2156
35	1	1	1	0.9256902358133086	-237.50926037188853	0.0015075376884422112	11.005718274745785	C45H78O8	[M + H]+	FPMAFHRVHRPSCA	InChI=1S/C45H78O8/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-50-38-40(39-52-45-44(49)43(48)42(47)41(37-46)53-45)51-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,40-49H,3-4,9-10,15-16,21-39H2,1-2H3	null	CCC=CCC=CCC=CCCCCCCCCOCC(COC1C(C(C(C(O1)CO)O)O)O)OCCCCCCCCC=CCC=CCC=CCC	10.6818972	""	COCONUT:(CNP0171374);Natural Products:(UNPD10747);SuperNatural:(SN00323991)	3178496	747.5777	NaN	3676_specs_ms_FEATURE_3678
36	2	1	1	0.9233011059673859	-35.53009853963978	0.9723618090452263	31.63908536032723	C24H45NO3	[M + H]+	UMOAAMQGRRCHPA	InChI=1S/C24H45NO3/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(26)25-22(24(27)28)20-21(2)3/h11-12,21-22H,4-10,13-20H2,1-3H3,(H,25,26)(H,27,28)	N-oleoyl leucine	CCCCCCCCC=CCCCCCCCC(=O)NC(CC(C)C)C(=O)O	8.30000019	52922067;75955260;89824993;89833093;122391302;135240011	PubChem:(52922067 75955260 89824993 89833093 122391302 135240011);CHEBI:(136616 134035)	34	396.3465	NaN	1547_specs_ms_FEATURE_1549
