#SampleID	swab_id	orig_sample_name	avg_percent_humidity	total_precipitation_in	total_precipitation_cm	weather_station	description	processing_control	control	gDNA_concentration	shotgon_library_concentration	16S_seqs	reads_used	below_threshold	extraction_plate	days_since_placement	season	geo_loc_name	soil_max_temp_c	soil_mean_temp_c	soil_min_temp_c	swab_barcode1	swab_barcode2	temp_c_max	temp_c_min	temp_c_average	time_since_death_to_cooling	tot_mass	soil_add_0c	soil_add_4c	soil_add_5c	soil_add_6c	soil_control	soil_temp_average	soil_temp_max	soil_temp_min	weight	maggot_notes	maggots	megyesi_score	megyesi_stage	notes	placement_head_direction	qiita_study_id	sample_collection_date	sample_type	sample_type_soil_control	scavenging_activity	scavenging_notes	scientific_name	sex	host_scientific_name	host_subject_id	validation_set	Testing	host_taxa_id	humidity_max	humidity_min	initial_body_condition	latitude	longitude	donor_storage	donor_storage_days	env_type	height	host_common_name	body_site	cause_of_death	country	date_of_death	days_of_decomposition	add_0c	add_0c_group	facility	add_facility	old_add_0c	old_add_4c	old_add_5c	age	ahd_humidity	ambient_max_temp_c	ambient_min_temp_c	ambient_temp_avg	approximate_age	autopsy	qiita_study	reextracted	hiseq_or_novaseq_better	shotgun_barcode_used
#q2:types	categorical	categorical	numeric	numeric	numeric	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	numeric	numeric	numeric	categorical	categorical	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	numeric	numeric	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical	categorical	categorical
65161_S2114_L003	65161	soil.hip.SHSU.2017.045.2017.12.16.day5	85.8	0	0	Easterwood Airport Station	soil.hip	n	n	0	0.532	13403	12821598	n	51	4	winter	USA:Texas:Huntsville				65160	65161	11.11111111	3.888888889	7.5		180					n					n	n	4	early		north_west	11489	12/16/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	5	36.9	early	STAFS	earlySTAFS	36.11111111	13.38888889	11.38888889	60	85					n	11489	y	novaseq	65161
65147_S2269_L003	65147	soil.hip.SHSU.2017.045.2017.12.15.day4	51.1	0	0	Easterwood Airport Station	soil.hip	n	n	0.016	1.447	11112	10474081	n	51	3	winter	USA:Texas:Huntsville				65146	65147	13.88888889	6.111111111	10		180					n					n	n	4	early		north_west	11489	12/15/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	4	29.15	early	STAFS	earlySTAFS	28.61111111	13.38888889	11.38888889	60	58				68	n	11489	y	novaseq	65147
65144_S1636_L003	65144	soil.hip.SHSU.2017.045.2017.12.13.day2	64	0	0	Easterwood Airport Station	soil.hip	n	n	0.021	8.673	19210	851453	n	51	1	winter	USA:Texas:Huntsville				65144	65145	13.88888889	0.555555556	7.222222222		180					n					n	n	3	early		north_west	11489	12/13/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	2	7.2	early	STAFS	earlySTAFS	7.222222222	0	0	60	59					n	11489	n	novaseq	65144
65127_S2213_L003	65127	soil.hip.SHSU.2017.045.2017.12.14.day3	60.1	0	0	Easterwood Airport Station	soil.hip	n	n	0	0.863	10317	16362911	n	50	2	winter	USA:Texas:Huntsville				65126	65127	15	7.777777778	11.38888889		180					n					n	n	3	early		north_west	11489	12/14/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	3	18.9	early	STAFS	earlySTAFS	18.61111111	7.388888889	6.388888889	60	65					n	11489	y	novaseq	65127
65125_S2148_L003	65125	soil.hip.SHSU.2017.045.2017.12.12.day1	45.5	0	0	Easterwood Airport Station	soil.hip	n	n	0	0.304	17224	13355323	n	50	0	winter	USA:Texas:Huntsville				65124	65125	16.11111111	2.222222222	9.166666667		180					n					n	n	3	day0		north_west	11489	12/12/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.045	n	Train	not_applicable			fresh	30.745	-95.476	cooled			175	not_applicable	soil.hip	Natural	USA	12/3/17	1	0	day0	STAFS	day0STAFS	0	0	0	60	46					n	11489	y	novaseq	65125
65109_S2188_L006	65109	soil.hip.SHSU.2017.043.2017.12.18.day19	96	0	0	Easterwood Airport Station	soil.hip	n	n	0	2.207	25157	841814	n	49	18	winter	USA:Texas:Huntsville				65108	65109	17.77777778	10	13.88888889		165					n					y	y	13	active		north_west	11489	12/18/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	19	205	advanced	STAFS	advancedSTAFS	201.9444444	118.1111111	98.05555556	68	94					n	11489	y	hiseq	65109
65090_S1706_L003	65090	soil.hip.SHSU.2017.043.2017.12.19.day20	94.2	0.26	0.6604	Easterwood Airport Station	soil.hip	n	n	0.022	12.567	20511	1361278	n	49	19	winter	USA:Texas:Huntsville				65090	65091	23.88888889	16.66666667	20.27777778		165					n					y	y	13	active		north_west	11489	12/19/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	20	225.85	advanced	STAFS	advancedSTAFS	222.2222222	134.3888889	113.3333333	68	92					n	11489	n	novaseq	65090
65074_S1702_L003	65074	soil.hip.SHSU.2017.043.2017.12.16.day17	85.8	0	0	Easterwood Airport Station	soil.hip	n	n	0.032	10.42	19756	1109608	n	49	16	winter	USA:Texas:Huntsville				65074	65075	11.11111111	3.888888889	7.5		165					n					y	y	12	active		north_west	11489	12/16/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	17	180.3	active	STAFS	activeSTAFS	177.7777778	101.9444444	83.88888889	68	85				60	n	11489	n	novaseq	65074
65073_S2129_L003	65073	soil.hip.SHSU.2017.043.2017.12.14.day15	60.1	0	0	Easterwood Airport Station	soil.hip	n	n	0	0.321	1350	826754	n	51	14	winter	USA:Texas:Huntsville				65072	65073	15	7.777777778	11.38888889		165					n					y	y	12	active		north_west	11489	12/14/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	15	162.3	active	STAFS	activeSTAFS	160.2777778	95.94444444	78.88888889	68	65					n	11489	y	novaseq	65073
65055_S2285_L003	65055	soil.hip.SHSU.2017.043.2017.12.15.day16	51.1	0	0	Easterwood Airport Station	soil.hip	n	n	0	2.242	16035	2027467	n	49	15	winter	USA:Texas:Huntsville				65054	65055	13.88888889	6.111111111	10		165					n					y	y	12	active		north_west	11489	12/15/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	16	172.55	active	STAFS	activeSTAFS	170.2777778	101.9444444	83.88888889	68	58				60	n	11489	y	novaseq	65055
65053_S2023_L003	65053	soil.hip.SHSU.2017.043.2017.12.13.day14	64	0	0	Easterwood Airport Station	soil.hip	n	n	0	0.412	12361	2223799	n	50	13	winter	USA:Texas:Huntsville				65052	65053	13.88888889	0.555555556	7.222222222		165					n					y	y	12	active		north_west	11489	12/13/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	14	150.6	active	STAFS	activeSTAFS	148.8888889	88.55555556	72.5	68	59					n	11489	y	novaseq	65053
65038_S1691_L003	65038	soil.hip.SHSU.2017.043.2017.12.12.day13	45.5	0	0	Easterwood Airport Station	soil.hip	n	n	0.086	35.387	19068	1243445	n	49	12	winter	USA:Texas:Huntsville				65038	65039	16.11111111	2.222222222	9.166666667		165					n					y	y	12	active		north_west	11489	12/12/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	13	143.4	active	STAFS	activeSTAFS	141.6666667	88.55555556	72.5	68	46					n	11489	n	novaseq	65038
65017_S2214_L003	65017	soil.hip.SHSU.2017.043.2017.12.09.day10	59	0	0	Easterwood Airport Station	soil.hip	n	n	0.001	3.734	15038	1488267	n	49	9	winter	USA:Texas:Huntsville				65016	65017	16.11111111	-1.111111111	7.5		165					n					y	y	11	active		north_west	11489	12/9/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	10	111.45	active	STAFS	activeSTAFS	109.4444444	68.33333333	63.33333333	68	62					n	11489	y	novaseq	65017
65002_S1640_L003	65002	soil.hip.SHSU.2017.043.2017.12.08.day9	68.3	0.08	0.2032	Easterwood Airport Station	soil.hip	n	n	0.113	13.855	21322	1050580	n	51	8	winter	USA:Texas:Huntsville				65002	65003	6.666666667	-1.111111111	2.777777778		165					n					y	y	7	active		north_west	11489	12/8/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	9	103.65	active	STAFS	activeSTAFS	101.9444444	68.33333333	63.33333333	68	70				68	n	11489	n	novaseq	65002
65001_S2182_L006	65001	soil.hip.SHSU.2017.043.2017.12.06.day7	89.7	0.41	1.0414	Easterwood Airport Station	soil.hip	n	n	0	1.048	21370	5452279	n	50	6	winter	USA:Texas:Huntsville				65000	65001	7.777777778	5	6.388888889		165					n					y	y	5	early		north_west	11489	12/6/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	7	96.1	active	STAFS	activeSTAFS	94.72222222	68.33333333	63.33333333	68	91					n	11489	y	hiseq	65001
64982_S1630_L003	64982	soil.hip.SHSU.2017.043.2017.12.07.day8	83	0.53	1.3462	Easterwood Airport Station	soil.hip	n	n	0.113	33.928	19915	1031877	n	51	7	winter	USA:Texas:Huntsville				64982	64983	8.888888889	0	4.444444444		165					n					y	y	7	active		north_west	11489	12/7/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	8	100.55	active	STAFS	activeSTAFS	99.16666667	68.33333333	63.33333333	68	86					n	11489	n	novaseq	64982
64980_S1629_L003	64980	soil.hip.SHSU.2017.043.2017.12.05.day6	75.6	0.02	0.0508	Easterwood Airport Station	soil.hip	n	n	0.021	6.298	16528	824142	n	51	5	winter	USA:Texas:Huntsville				64980	64981	22.22222222	10.55555556	16.38888889		165					n					y	y	4	early		north_west	11489	12/5/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	6	88.6	active	STAFS	activeSTAFS	88.33333333	68.33333333	63.33333333	68	81					n	11489	n	novaseq	64980
64967_S2293_L003	64967	soil.hip.SHSU.2017.043.2017.12.04.day5	90.2	0.12	0.3048	Easterwood Airport Station	soil.hip	n	n	0.001	1.877	36178	6171488	n	50	4	winter	USA:Texas:Huntsville				64966	64967	26.66666667	18.88888889	22.77777778		165					n					n	n	3	early		north_west	11489	12/4/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	5	72.5	active	STAFS	activeSTAFS	71.94444444	55.94444444	51.94444444	68	84					n	11489	y	novaseq	64967
64964_S1632_L003	64964	soil.hip.SHSU.2017.043.2017.12.02.day3	74	0	0	Easterwood Airport Station	soil.hip	n	n	0.011	3.755	17440	948200	n	51	2	winter	USA:Texas:Huntsville				64964	64965	23.88888889	10.55555556	17.22222222		165					n					n	n	3	early		north_west	11489	12/2/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	3	31.95	early	STAFS	earlySTAFS	31.66666667	23.66666667	21.66666667	68	75					n	11489	n	novaseq	64964
64947_S2196_L003	64947	soil.hip.SHSU.2017.043.2017.12.03.day4	93.5	0	0	Easterwood Airport Station	soil.hip	n	n	0	0.624	14452	1832121	n	50	3	winter	USA:Texas:Huntsville				64946	64947	22.22222222	12.77777778	17.5		165					n					n	n	3	early		north_west	11489	12/3/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	4	49.45	early	STAFS	earlySTAFS	49.16666667	37.16666667	34.16666667	68	91					n	11489	y	novaseq	64947
64945_S2242_L003	64945	soil.hip.SHSU.2017.043.2017.12.01.day2	65.6	0	0	Easterwood Airport Station	soil.hip	n	n	0	0.273	1429	1172102	n	49	1	winter	USA:Texas:Huntsville				64944	64945	22.77777778	6.111111111	14.44444444		165					n					n	n	3	early		north_west	11489	12/1/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	2	14.75	early	STAFS	earlySTAFS	14.44444444	10.44444444	9.444444444	68	69					n	11489	y	novaseq	64945
64930_S1638_L003	64930	soil.hip.SHSU.2017.043.2017.11.30.day1	52.6	0	0	Easterwood Airport Station	soil.hip	n	n	0.024	3.373	19634	1126306	n	51	0	winter	USA:Texas:Huntsville				64930	64931	22.22222222	6.111111111	14.16666667		165					n					n	n	3	day0		north_west	11489	11/30/17	soil	soil	n	in cage	soil metagenome	male	not_applicable	2017.043	n	Train	not_applicable			fresh	30.745	-95.476	cooled			165	not_applicable	soil.hip	Natural	USA	11/20/17	1	0	day0	STAFS	day0STAFS	0	0	0	68	64					n	11489	n	novaseq	64930
64928_S1933_L003	64928	soil.hip.UTK.K016.09.2017.Jan.26.day20	66.8	0.36	0.9144	McGhee Tyson Airport Station	soil.hip	n	n	3.483	5.631	42337	2628736	n	28	20	winter	USA:Tennessee:Knoxville				64928	64929	13.969	3.836	8.9025	unknown	144	207.435	131.435	112.435	93.435	n	11.564	12.048	11.08		n	n	7	active		South	11489	1/26/17	soil	soil	y	R/L ARM	soil metagenome	male	not_applicable	K016.09	n	Train	not_applicable			fair	35.940959	-83.939774	cooled	1		172	not_applicable	soil.hip	prostate cancer	USA	1/5/17	21	212.9	advanced	ARF	advancedARF	211.8235	141.5025	124.5025	69		21.2	30.4	25.8	72	n	11489	n	novaseq	64928
64911_S2290_L003	64911	soil.hip.UTK.K016.09.2017.Jan.27.day21	61	0	0	McGhee Tyson Airport Station	soil.hip	n	n	4.357	5.691	53040	14174126	n	28	21	winter	USA:Tennessee:Knoxville				64910	64911	4.256	1.111	2.6835	unknown	144	217.71	137.71	117.71	97.71	n	10.275	11.001	9.549		n	n	8	active		South	11489	1/27/17	soil	soil	y	R/L ARM	soil metagenome	male	not_applicable	K016.09	n	Train	not_applicable			fair	35.940959	-83.939774	cooled	1		172	not_applicable	soil.hip	prostate cancer	USA	1/5/17	22	215.9	advanced	ARF	advancedARF	214.507	141.5025	124.5025	69					63	n	11489	y	novaseq	64911
64908_S2001_L003	64908	soil.hip.UTK.K016.09.2017.Jan.25.day19	83.1	0	0	McGhee Tyson Airport Station	soil.hip	n	n	2.019	5.55	17877	3234542	n	25	19	winter	USA:Tennessee:Knoxville				64908	64909	19.452	1.792	10.622	unknown	144	195.871	123.871	105.871	87.871	n	11.1925	11.761	10.624		y	y	7	active		South	11489	1/25/17	soil	soil	y	R/L ARM	soil metagenome	male	not_applicable	K016.09	n	Train	not_applicable			fair	35.940959	-83.939774	cooled	1		172	not_applicable	soil.hip	prostate cancer	USA	1/5/17	20	202.2	advanced	ARF	advancedARF	202.921	136.6	120.6	69		15.8	30	22.7	72	n	11489	n	novaseq	64908
64894_S1939_L003	64894	soil.hip.UTK.K016.09.2017.Jan.24.day18	76.3	0.08	0.2032	McGhee Tyson Airport Station	soil.hip	n	n	1.476	10.707	33367	1581108	n	28	18	winter	USA:Tennessee:Knoxville				64894	64895	12.612	4.092	8.352	unknown	144	184.6785	116.6785	99.6785	82.6785	n	12.59	13.4	11.78		n	n	7	active		South	11489	1/24/17	soil	soil	y	R/L ARM	soil metagenome	male	not_applicable	K016.09	n	Train	not_applicable			fair	35.940959	-83.939774	cooled	1		172	not_applicable	soil.hip	prostate cancer	USA	1/5/17	19	194.1	active	ARF	activeARF	192.299	129.978	114.978	69					58	n	11489	n	novaseq	64894
64892_S1997_L003	64892	soil.hip.UTK.K016.09.2017.Jan.22.day16	84	0.16	0.4064	McGhee Tyson Airport Station	soil.hip	n	n	4.202	4.99	41626	3552015	n	26	16	winter	USA:Tennessee:Knoxville				64892	64893	18.024	10.125	14.0745	unknown	144	159.0135	99.0135	84.0135	69.0135	n	12.3365	12.65	12.023		y	y	5	early		South	11489	1/22/17	soil	soil	y	R/L ARM	soil metagenome	male	not_applicable	K016.09	n	Train	not_applicable			fair	35.940959	-83.939774	cooled	1		172	not_applicable	soil.hip	prostate cancer	USA	1/5/17	17	174.6	active	ARF	activeARF	173.706	119.385	106.385	69						n	11489	n	novaseq	64892
64874_S1884_L003	64874	soil.hip.UTK.K016.09.2017.Jan.23.day17	87.5	0.87	2.2098	McGhee Tyson Airport Station	soil.hip	n	n	1.156	4.938	37922	3358997	n	29	17	winter	USA:Tennessee:Knoxville				64874	64875	12.653	7.829	10.241	unknown	144	172.0885	108.0885	92.0885	76.0885	n	13.075	13.473	12.677		y	y	6	early		South	11489	1/23/17	soil	soil	y	R/L ARM	soil metagenome	male	not_applicable	K016.09	n	Train	not_applicable			fair	35.940959	-83.939774	cooled	1		172	not_applicable	soil.hip	prostate cancer	USA	1/5/17	18	186.2	active	ARF	activeARF	183.947	125.626	111.626	69						n	11489	n	novaseq	64874
64872_S1954_L003	64872	soil.hip.UTK.K016.09.2017.Jan.21.day15	86.7	0	0	McGhee Tyson Airport Station	soil.hip	n	n	2.399	12.058	37324	2002165	n	27	15	winter	USA:Tennessee:Knoxville				64872	64873	13.628	8.656	11.142	unknown	144	146.677	90.677	76.677	62.677	n	12.3895	12.612	12.167		n	n	5	early		South	11489	1/21/17	soil	soil	y	R/L ARM	soil metagenome	male	not_applicable	K016.09	n	Train	not_applicable			fair	35.940959	-83.939774	cooled	1		172	not_applicable	soil.hip	prostate cancer	USA	1/5/17	16	161	active	ARF	activeARF	159.6315	109.3105	97.3105	69					59	n	11489	n	novaseq	64872
